"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Wol","yes",0,-2,1,"0.96","-1.07","-1.07"
"2","A","Lei","yes",0,-2,0,"0.04","0.92","-0.15"
"3","H","Dor","yes",0,-2,0,"0.38","0.18","0.03"
"4","A","HSV","yes",0,-1,1,"0.59","-0.28","-0.25"
"5","H","Aug","yes",3,1,2,"1.08","-1.34","-1.58"
"6","A","Stu","yes",0,-1,0,"0.05","0.89","-0.69"
"7","H","Bre","yes",1,0,2,"0.81","-0.75","-1.44"
"8","A","Hof","yes",0,-2,1,"0.20","0.56","-0.87"
"9","H","Fra","yes",1,0,1,"0.31","0.33","-0.55"
"10","A","Lev","yes",0,-6,0,"0.09","0.82","0.27"
"11","H","BMg","yes",0,-3,0,"0.49","-0.07","0.20"
"12","A","UnB","no",NA,NA,NA,"0.16","0.65","0.85"
"13","H","Fbg","no",NA,NA,NA,"0.60","-0.30","0.55"
"14","A","StP","no",NA,NA,NA,"0.51","-0.10","0.45"
"15","H","Mun","no",NA,NA,NA,"0.05","0.89","1.34"
"16","H","Kln","no",NA,NA,NA,"0.72","-0.57","0.78"
"17","A","Mai","no",NA,NA,NA,"0.83","-0.79","-0.01"
"18","A","Wol","no",NA,NA,NA,"0.81","-0.76","-0.77"
"19","H","Lei","no",NA,NA,NA,"0.24","0.48","-0.29"
"20","A","Dor","no",NA,NA,NA,"0.10","0.78","0.50"
"21","H","HSV","no",NA,NA,NA,"1.41","-2.05","-1.56"
"22","A","Aug","no",NA,NA,NA,"0.51","-0.10","-1.66"
"23","H","Stu","no",NA,NA,NA,"0.39","0.15","-1.51"
"24","A","Bre","no",NA,NA,NA,"0.16","0.66","-0.85"
"25","H","Hof","no",NA,NA,NA,"0.20","0.58","-0.27"
"26","A","Fra","no",NA,NA,NA,"0.15","0.68","0.41"
"27","H","Lev","no",NA,NA,NA,"0.19","0.59","1.00"
"28","A","BMg","no",NA,NA,NA,"0.46","-0.00","1.00"
"29","H","UnB","no",NA,NA,NA,"0.39","0.16","1.16"
"30","A","Fbg","no",NA,NA,NA,"0.20","0.56","1.72"
"31","H","StP","no",NA,NA,NA,"1.00","-1.17","0.55"
"32","A","Mun","no",NA,NA,NA,"0.01","0.97","1.52"
"33","A","Kln","no",NA,NA,NA,"0.33","0.28","1.81"
"34","H","Mai","no",NA,NA,NA,"1.30","-1.81","0.00"
