"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Lev","yes",3,1,2,"1.88","0.13","0.13"
"2","H","Fra","yes",0,-2,1,"2.11","0.02","0.14"
"3","A","UnB","yes",3,2,4,"2.31","-0.07","0.07"
"4","H","Mun","yes",0,-3,1,"0.66","0.69","0.76"
"5","A","Fbg","yes",1,0,1,"1.84","0.14","0.91"
"6","H","Kln","yes",0,-1,0,"2.43","-0.13","0.77"
"7","A","StP","yes",3,3,3,"2.45","-0.14","0.63"
"8","H","Hei","yes",3,2,3,"2.68","-0.25","0.39"
"9","A","Wol","yes",3,1,3,"2.62","-0.22","0.17"
"10","H","Lei","yes",3,2,3,"1.97","0.08","0.25"
"11","A","Mai","yes",1,0,1,"2.54","-0.18","0.07"
"12","H","Aug","yes",3,3,3,"2.53","-0.18","-0.11"
"13","A","Dor","yes",0,-2,0,"1.06","0.51","0.39"
"14","H","HSV","yes",3,3,4,"2.57","-0.20","0.20"
"15","A","Stu","yes",1,0,0,"1.41","0.34","0.54"
"16","H","BMg","yes",3,4,5,"2.23","-0.04","0.50"
"17","H","Lev","yes",3,1,1,"1.80","0.16","0.66"
"18","A","Fra","yes",3,2,3,"2.25","-0.04","0.62"
"19","A","Bre","yes",3,2,2,"2.42","-0.13","0.49"
"20","H","UnB","yes",3,2,3,"2.23","-0.04","0.46"
"21","A","Mun","no",NA,NA,NA,"1.11","0.48","0.94"
"22","H","Fbg","no",NA,NA,NA,"2.46","-0.14","0.79"
"23","A","Kln","no",NA,NA,NA,"2.41","-0.12","0.67"
"24","H","StP","no",NA,NA,NA,"2.64","-0.23","0.45"
"25","A","Hei","no",NA,NA,NA,"2.67","-0.24","0.20"
"26","H","Wol","no",NA,NA,NA,"2.45","-0.14","0.06"
"27","A","Lei","no",NA,NA,NA,"1.75","0.19","0.25"
"28","H","Mai","no",NA,NA,NA,"2.38","-0.11","0.14"
"29","A","Aug","no",NA,NA,NA,"2.39","-0.11","0.03"
"30","H","Dor","no",NA,NA,NA,"1.44","0.33","0.36"
"31","A","HSV","no",NA,NA,NA,"2.26","-0.05","0.31"
"32","H","Stu","no",NA,NA,NA,"1.94","0.10","0.41"
"33","H","Bre","no",NA,NA,NA,"2.59","-0.21","0.20"
"34","A","BMg","no",NA,NA,NA,"2.58","-0.20","-0.00"
