"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Mai","yes",3,1,1,"1.23","-0.30","-0.30"
"2","H","Fbg","yes",3,3,4,"1.38","-0.46","-0.75"
"3","A","Wol","yes",1,0,3,"1.70","-0.80","-1.55"
"4","A","Lei","yes",0,-2,1,"0.31","0.67","-0.89"
"5","H","Stu","yes",0,-1,1,"0.88","0.07","-0.81"
"6","A","Hof","yes",3,1,1,"0.51","0.46","-0.35"
"7","H","Aug","yes",1,0,1,"1.17","-0.23","-0.58"
"8","A","Dor","yes",0,-1,0,"0.23","0.76","0.17"
"9","H","HSV","yes",3,3,4,"1.48","-0.57","-0.39"
"10","A","BMg","yes",0,-2,1,"0.98","-0.04","-0.43"
"11","H","Fra","yes",0,-1,3,"1.13","-0.20","-0.63"
"12","A","Bre","yes",1,0,1,"1.10","-0.16","-0.79"
"13","H","StP","yes",1,0,1,"1.82","-0.93","-1.72"
"14","A","Lev","yes",0,-2,0,"0.50","0.47","-1.25"
"15","H","UnB","yes",0,-1,0,"1.26","-0.34","-1.59"
"16","A","Hei","yes",1,0,2,"1.20","-0.27","-1.86"
"17","H","Mun","yes",0,-2,1,"0.14","0.86","-1.00"
"18","H","Mai","yes",3,1,2,"0.99","-0.05","-1.05"
"19","A","Fbg","yes",0,-1,1,"0.59","0.38","-0.67"
"20","H","Wol","yes",3,1,1,"1.25","-0.33","-0.99"
"21","H","Lei","yes",0,-1,1,"0.64","0.32","-0.67"
"22","A","Stu","yes",0,-2,1,"0.29","0.70","0.02"
"23","H","Hof","yes",1,0,2,"0.54","0.43","0.45"
"24","A","Aug","yes",0,-2,0,"0.76","0.19","0.64"
"25","H","Dor","yes",0,-1,1,"0.53","0.44","1.08"
"26","A","HSV","yes",1,0,1,"0.86","0.09","1.16"
"27","H","BMg","yes",1,0,3,"1.45","-0.54","0.63"
"28","A","Fra","yes",1,0,2,"0.80","0.16","0.78"
"29","H","Bre","yes",3,2,3,"1.53","-0.61","0.17"
"30","A","StP","yes",1,0,1,"1.19","-0.25","-0.08"
"31","H","Lev","yes",0,-1,1,"0.67","0.29","0.21"
"32","A","UnB","yes",1,0,2,"1.05","-0.11","0.10"
"33","H","Hei","yes",0,-2,1,"1.82","-0.93","-0.83"
"34","A","Mun","no",NA,NA,NA,"0.16","0.83","0.00"
