"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Kln","yes",0,-1,0,"1.42","-0.43","-0.43"
"2","A","Wol","yes",1,0,1,"1.89","-0.90","-1.33"
"3","H","Lei","yes",0,-1,0,"0.55","0.45","-0.87"
"4","A","Aug","yes",3,3,4,"1.01","-0.02","-0.89"
"5","H","Dor","yes",0,-2,0,"0.36","0.63","-0.26"
"6","A","HSV","yes",0,-4,0,"1.06","-0.06","-0.32"
"7","H","Lev","yes",0,-1,3,"0.60","0.39","0.07"
"8","A","Stu","yes",0,-1,1,"0.34","0.65","0.73"
"9","H","Bre","yes",1,0,1,"1.65","-0.66","0.07"
"10","A","Fra","yes",0,-1,0,"0.81","0.18","0.25"
"11","H","Hof","yes",1,0,1,"0.38","0.62","0.88"
"12","A","Fbg","yes",0,-4,0,"0.60","0.40","1.27"
"13","H","BMg","yes",0,-1,0,"1.11","-0.11","1.16"
"14","A","Mun","yes",1,0,2,"0.17","0.83","1.99"
"15","H","StP","yes",1,0,0,"1.45","-0.46","1.53"
"16","A","UnB","yes",1,0,2,"0.95","0.04","1.58"
"17","H","Hei","yes",3,1,2,"1.98","-0.99","0.59"
"18","A","Kln","yes",0,-1,1,"1.30","-0.30","0.28"
"19","H","Wol","yes",3,2,3,"1.28","-0.29","-0.00"
"20","A","Lei","yes",3,1,2,"0.59","0.40","0.40"
"21","H","Aug","yes",3,2,2,"1.31","-0.31","0.09"
"22","A","Dor","yes",0,-4,0,"0.28","0.72","0.81"
"23","H","HSV","yes",1,0,1,"1.37","-0.38","0.42"
"24","A","Lev","yes",1,0,1,"0.73","0.27","0.69"
"25","H","Stu","yes",1,0,2,"0.82","0.17","0.86"
"26","A","Bre","no",NA,NA,NA,"1.26","-0.27","0.60"
"27","H","Fra","no",NA,NA,NA,"0.84","0.15","0.75"
"28","A","Hof","no",NA,NA,NA,"0.58","0.41","1.16"
"29","H","Fbg","no",NA,NA,NA,"1.41","-0.42","0.75"
"30","A","BMg","no",NA,NA,NA,"1.44","-0.44","0.30"
"31","H","Mun","no",NA,NA,NA,"0.10","0.90","1.20"
"32","A","StP","no",NA,NA,NA,"1.19","-0.20","1.01"
"33","H","UnB","no",NA,NA,NA,"1.18","-0.18","0.82"
"34","A","Hei","no",NA,NA,NA,"1.81","-0.82","0.00"
