"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Dor","yes",1,0,3,"0.44","0.48","0.48"
"2","A","HSV","yes",3,2,2,"0.70","0.17","0.65"
"3","H","Aug","yes",3,1,2,"1.27","-0.51","0.14"
"4","A","Stu","yes",0,-2,0,"0.22","0.74","0.88"
"5","H","Lev","yes",0,-1,1,"0.62","0.26","1.14"
"6","A","Bre","yes",0,-1,0,"0.77","0.09","1.22"
"7","H","Hof","yes",0,-3,0,"0.53","0.37","1.59"
"8","A","Fra","yes",0,-2,0,"0.50","0.41","2.00"
"9","H","BMg","yes",0,-4,0,"1.38","-0.65","1.35"
"10","A","Fbg","yes",0,-1,1,"0.38","0.54","1.90"
"11","H","UnB","yes",0,-1,0,"1.35","-0.61","1.28"
"12","A","Mun","yes",0,-2,1,"0.08","0.90","2.19"
"13","A","Kln","yes",1,0,1,"0.75","0.10","2.29"
"14","H","Hei","yes",3,1,2,"2.10","-1.50","0.79"
"15","A","Mai","yes",1,0,0,"0.88","-0.05","0.74"
"16","A","Wol","yes",0,-1,1,"1.40","-0.67","0.07"
"17","A","Dor","yes",0,-1,2,"0.17","0.80","0.87"
"18","H","HSV","yes",1,0,0,"1.64","-0.96","-0.09"
"19","H","Lei","yes",1,0,1,"0.57","0.32","0.24"
"20","A","Aug","yes",0,-1,1,"0.60","0.29","0.52"
"21","H","Stu","yes",3,1,2,"0.87","-0.04","0.48"
"22","A","Lev","yes",0,-4,0,"0.40","0.53","1.01"
"23","H","Bre","yes",3,1,2,"1.47","-0.75","0.25"
"24","A","Hof","yes",3,1,1,"0.36","0.58","0.83"
"25","H","Fra","yes",1,0,0,"1.10","-0.30","0.53"
"26","A","BMg","yes",0,-2,0,"0.86","-0.02","0.51"
"27","H","Fbg","yes",0,-1,1,"1.29","-0.53","-0.02"
"28","A","UnB","yes",1,0,1,"0.76","0.10","0.08"
"29","H","Mun","yes",0,-5,0,"0.13","0.84","0.92"
"30","H","Kln","yes",1,0,1,"1.50","-0.79","0.13"
"31","A","Hei","yes",0,-2,0,"0.93","-0.10","0.03"
"32","H","Mai","no",NA,NA,NA,"1.06","-0.26","-0.23"
"33","A","Lei","no",NA,NA,NA,"0.22","0.74","0.51"
"34","H","Wol","no",NA,NA,NA,"1.26","-0.51","-0.00"
