"","HA","vs","played","sched","cumulative"
"1","A","Int","yes","0.73","0.73"
"2","H","Ver","yes","-0.31","0.42"
"3","A","Tor","yes","0.00","0.42"
"4","H","Nap","yes","-0.05","0.38"
"5","A","SPA","yes","-0.66","-0.28"
"6","H","Rom","yes","0.14","-0.14"
"7","A","Ata","yes","0.72","0.58"
"8","A","Mil","yes","0.53","1.11"
"9","H","Juv","yes","0.52","1.63"
"10","A","Sam","yes","0.08","1.71"
"11","H","Sas","yes","-0.24","1.47"
"12","A","Laz","yes","0.72","2.20"
"13","H","Cag","yes","-0.44","1.75"
"14","A","Fir","yes","0.21","1.96"
"15","H","Gen","yes","-0.68","1.28"
"16","A","Bre","yes","-0.48","0.80"
"17","H","Bol","yes","-0.38","0.42"
"18","H","Udi","yes","-0.52","-0.10"
"19","A","Par","yes","0.19","0.09"
"20","H","Int","yes","0.42","0.51"
"21","A","Ver","yes","0.26","0.77"
"22","H","Tor","yes","-0.61","0.16"
"23","A","Nap","yes","0.45","0.61"
"24","H","SPA","yes","-1.19","-0.58"
"25","A","Rom","yes","0.57","-0.01"
"26","H","Ata","yes","0.41","0.40"
"27","H","Mil","yes","0.08","0.48"
"28","A","Juv","yes","0.78","1.26"
"29","H","Sam","yes","-0.53","0.73"
"30","A","Sas","yes","0.32","1.04"
"31","H","Laz","yes","0.41","1.45"
"32","A","Cag","yes","0.15","1.60"
"33","H","Fir","yes","-0.38","1.23"
"34","A","Gen","yes","-0.07","1.16"
"35","H","Bre","yes","-1.06","0.10"
"36","A","Bol","yes","0.21","0.31"
"37","A","Udi","yes","0.08","0.39"
"38","H","Par","no","-0.39","-0.00"
