"","HA","vs","played","sched","cumulative"
"1","H","Mil","yes","-0.19","-0.19"
"2","H","Par","yes","-0.11","-0.30"
"3","A","Int","yes","0.78","0.48"
"4","H","Bre","yes","-0.92","-0.44"
"5","A","Ver","yes","0.35","-0.09"
"6","H","Bol","yes","-0.34","-0.43"
"7","A","Fir","yes","0.13","-0.31"
"8","H","Tor","yes","-0.52","-0.82"
"9","A","Ata","yes","0.57","-0.25"
"10","H","Rom","yes","0.05","-0.20"
"11","A","Gen","yes","-0.14","-0.34"
"12","H","SPA","yes","-0.95","-1.29"
"13","A","Sam","yes","-0.09","-1.38"
"14","A","Laz","yes","0.82","-0.56"
"15","H","Nap","yes","-0.17","-0.73"
"16","A","Juv","yes","0.83","0.10"
"17","H","Cag","yes","-0.29","-0.19"
"18","A","Lec","yes","-0.04","-0.22"
"19","H","Sas","yes","-0.43","-0.66"
"20","A","Mil","yes","0.33","-0.33"
"21","A","Par","yes","0.39","0.06"
"22","H","Int","yes","0.52","0.57"
"23","A","Bre","yes","-0.44","0.13"
"24","H","Ver","yes","-0.16","-0.02"
"25","A","Bol","yes","0.20","0.18"
"26","H","Fir","no","-0.42","-0.24"
"27","A","Tor","no","0.03","-0.21"
"28","H","Ata","no","0.16","-0.05"
"29","A","Rom","no","0.50","0.45"
"30","H","Gen","no","-0.68","-0.23"
"31","A","SPA","no","-0.48","-0.70"
"32","H","Sam","no","-0.63","-1.34"
"33","H","Laz","no","0.60","-0.74"
"34","A","Nap","no","0.34","-0.40"
"35","H","Juv","no","0.62","0.23"
"36","A","Cag","no","0.25","0.47"
"37","H","Lec","no","-0.59","-0.11"
"38","A","Sas","no","0.11","-0.00"
