"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Cag","yes",3,"2.15","-0.15","-0.15"
"2","H","Ata","yes",0,"1.27","0.32","0.18"
"3","H","Int","yes",1,"1.35","0.28","0.45"
"4","A","Sam","yes",0,"1.62","0.14","0.59"
"5","H","Bol","yes",3,"2.52","-0.34","0.25"
"6","A","Tor","yes",3,"2.25","-0.20","0.04"
"7","H","Juv","yes",1,"1.86","0.01","0.05"
"8","A","Cro","yes",3,"2.25","-0.20","-0.15"
"9","H","Udi","yes",0,"2.32","-0.24","-0.38"
"10","A","Spe","yes",3,"2.04","-0.09","-0.47"
"11","H","Ver","yes",0,"2.24","-0.19","-0.67"
"12","A","Ben","yes",1,"2.27","-0.21","-0.88"
"13","H","Nap","yes",3,"1.63","0.13","-0.75"
"14","A","Mil","yes",0,"1.66","0.11","-0.64"
"15","A","Gen","yes",1,"2.01","-0.07","-0.71"
"16","H","Fir","yes",3,"2.47","-0.32","-1.02"
"17","A","Par","yes",3,"2.36","-0.26","-1.28"
"18","H","Rom","yes",3,"2.28","-0.22","-1.50"
"19","H","Sas","yes",3,"1.78","0.05","-1.45"
"20","A","Ata","yes",3,"1.12","0.40","-1.04"
"21","H","Cag","yes",3,"2.49","-0.33","-1.37"
"22","A","Int","yes",0,"0.26","0.86","-0.51"
"23","H","Sam","yes",3,"2.27","-0.21","-0.72"
"24","A","Bol","yes",0,"1.50","0.20","-0.52"
"25","A","Juv","yes",0,"0.72","0.62","0.10"
"26","H","Cro","yes",3,"2.91","-0.55","-0.45"
"27","A","Udi","yes",3,"2.02","-0.08","-0.53"
"28","H","Spe","yes",3,"2.40","-0.28","-0.81"
"29","A","Ver","yes",3,"1.78","0.05","-0.76"
"30","H","Ben","yes",3,"2.20","-0.17","-0.93"
"31","A","Nap","no",NA,"0.87","0.53","-0.39"
"32","H","Mil","no",NA,"0.43","0.77","0.38"
"33","H","Gen","no",NA,"2.47","-0.32","0.06"
"34","A","Fir","no",NA,"1.97","-0.05","0.01"
"35","H","Par","no",NA,"2.64","-0.41","-0.40"
"36","A","Rom","no",NA,"0.74","0.60","0.21"
"37","A","Sas","no",NA,"1.82","0.03","0.24"
"38","H","Tor","no",NA,"2.32","-0.24","-0.00"
