"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Par","yes",3,2,"2.65","-0.31","-0.31"
"2","H","Gen","yes",3,6,"2.32","-0.14","-0.45"
"3","H","Ata","yes",3,3,"1.28","0.37","-0.09"
"4","A","Ben","yes",3,1,"2.61","-0.29","-0.38"
"5","H","Sas","yes",0,-2,"1.66","0.18","-0.19"
"6","A","Bol","yes",3,1,"2.11","-0.04","-0.24"
"7","H","Mil","yes",0,-2,"0.48","0.76","0.53"
"8","H","Rom","yes",3,4,"2.39","-0.18","0.35"
"9","A","Cro","yes",3,4,"2.44","-0.21","0.14"
"10","H","Sam","yes",3,1,"2.25","-0.11","0.03"
"11","A","Int","yes",0,-1,"0.35","0.83","0.86"
"12","A","Laz","yes",0,-2,"1.14","0.44","1.29"
"13","H","Tor","yes",1,0,"2.35","-0.16","1.14"
"14","A","Cag","yes",3,3,"2.41","-0.19","0.95"
"15","H","Spe","yes",0,-1,"2.44","-0.20","0.75"
"16","A","Udi","yes",3,1,"2.41","-0.19","0.55"
"17","H","Fir","yes",3,6,"2.48","-0.22","0.33"
"18","A","Ver","yes",0,-2,"2.22","-0.09","0.24"
"19","H","Par","yes",3,2,"2.68","-0.32","-0.09"
"20","A","Gen","yes",0,-1,"2.30","-0.13","-0.22"
"21","H","Juv","yes",3,1,"1.66","0.18","-0.04"
"22","A","Ata","yes",0,-2,"1.43","0.30","0.26"
"23","H","Ben","yes",3,2,"2.29","-0.13","0.12"
"24","A","Sas","yes",1,0,"2.02","0.01","0.13"
"25","H","Bol","yes",3,2,"2.51","-0.24","-0.11"
"26","A","Mil","yes",3,1,"2.00","0.01","-0.10"
"27","A","Rom","yes",3,2,"1.04","0.49","0.39"
"28","H","Cro","yes",3,1,"2.79","-0.38","0.01"
"29","A","Juv","yes",0,-1,"1.01","0.50","0.51"
"30","A","Sam","yes",3,2,"1.93","0.05","0.56"
"31","H","Int","yes",1,0,"1.37","0.33","0.88"
"32","H","Laz","yes",3,3,"2.10","-0.04","0.85"
"33","A","Tor","yes",3,2,"2.45","-0.21","0.64"
"34","H","Cag","yes",1,0,"2.39","-0.18","0.46"
"35","A","Spe","yes",3,3,"2.29","-0.13","0.33"
"36","H","Udi","yes",3,4,"2.27","-0.12","0.21"
"37","A","Fir","yes",3,2,"2.20","-0.09","0.13"
"38","H","Ver","yes",1,0,"2.28","-0.13","0.00"
