"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Udi","yes",1,0,"1.88","0.00","0.00"
"2","H","Emp","yes",0,-1,"1.65","0.13","0.13"
"3","A","Nap","yes",0,-1,"1.43","0.24","0.37"
"4","H","Mil","yes",1,0,"0.94","0.50","0.87"
"5","A","Spe","yes",3,1,"2.21","-0.17","0.70"
"6","H","Sam","yes",3,1,"2.25","-0.19","0.51"
"7","A","Tor","yes",3,1,"1.63","0.14","0.64"
"8","H","Rom","yes",3,1,"1.99","-0.06","0.59"
"9","A","Int","yes",1,0,"0.89","0.53","1.12"
"10","H","Sas","yes",0,-1,"1.90","-0.01","1.11"
"11","A","Ver","yes",0,-1,"1.59","0.16","1.26"
"12","H","Fir","yes",3,1,"2.06","-0.09","1.17"
"13","A","Laz","yes",3,2,"1.33","0.29","1.46"
"14","H","Ata","yes",0,-1,"0.80","0.58","2.04"
"15","A","Sal","yes",3,2,"2.46","-0.30","1.74"
"16","H","Gen","yes",3,2,"2.34","-0.24","1.50"
"17","A","Ven","yes",1,0,"2.30","-0.22","1.27"
"18","A","Bol","yes",3,2,"1.90","-0.01","1.27"
"19","H","Cag","yes",3,2,"2.17","-0.15","1.12"
"20","H","Nap","yes",1,0,"1.08","0.43","1.55"
"21","A","Rom","yes",3,1,"1.49","0.21","1.76"
"22","H","Udi","yes",3,2,"2.26","-0.20","1.55"
"23","A","Mil","yes",1,0,"1.45","0.23","1.78"
"24","H","Ver","yes",3,2,"2.17","-0.15","1.63"
"25","A","Ata","no",NA,NA,"2.09","-0.11","1.53"
"26","H","Tor","no",NA,NA,"2.30","-0.22","1.30"
"27","A","Emp","no",NA,NA,"2.30","-0.22","1.09"
"28","H","Spe","no",NA,NA,"2.09","-0.11","0.98"
"29","A","Sam","no",NA,NA,"2.22","-0.18","0.80"
"30","H","Sal","no",NA,NA,"2.41","-0.28","0.53"
"31","H","Int","no",NA,NA,"1.27","0.33","0.85"
"32","A","Cag","no",NA,NA,"2.35","-0.25","0.61"
"33","H","Bol","no",NA,NA,"2.20","-0.17","0.44"
"34","A","Sas","no",NA,NA,"2.22","-0.18","0.26"
"35","H","Ven","no",NA,NA,"2.19","-0.16","0.10"
"36","A","Gen","no",NA,NA,"2.50","-0.33","-0.23"
"37","H","Laz","no",NA,NA,"1.92","-0.02","-0.25"
"38","A","Fir","no",NA,NA,"1.42","0.25","-0.00"
