"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Emp","yes",3,2,"1.83","-0.14","-0.14"
"2","H","Spe","yes",3,5,"2.09","-0.31","-0.45"
"3","A","Mil","yes",0,-2,"0.93","0.42","-0.04"
"4","H","Cag","yes",1,0,"2.03","-0.27","-0.31"
"5","A","Tor","yes",1,0,"1.15","0.28","-0.02"
"6","H","Rom","yes",3,1,"1.90","-0.19","-0.21"
"7","A","Bol","yes",0,-3,"1.21","0.24","0.03"
"8","H","Int","yes",3,2,"1.33","0.17","0.20"
"9","A","Ver","yes",0,-3,"0.95","0.41","0.61"
"10","H","Fir","yes",3,1,"2.03","-0.27","0.34"
"11","A","Ata","yes",1,0,"1.40","0.12","0.46"
"12","H","Sal","yes",3,3,"2.35","-0.47","-0.01"
"13","H","Juv","yes",0,-2,"1.39","0.13","0.12"
"14","A","Nap","yes",0,-4,"0.88","0.45","0.57"
"15","H","Udi","yes",1,0,"2.21","-0.38","0.19"
"16","A","Sam","yes",3,2,"1.54","0.04","0.23"
"17","A","Sas","yes",0,-1,"1.58","0.01","0.24"
"18","H","Gen","yes",3,2,"2.33","-0.46","-0.22"
"19","A","Ven","yes",3,2,"1.83","-0.14","-0.36"
"20","H","Emp","yes",1,0,"1.74","-0.09","-0.45"
"21","A","Int","yes",0,-1,"0.59","0.63","0.18"
"22","A","Sal","yes",3,3,"1.99","-0.24","-0.06"
"23","H","Ata","yes",1,0,"0.95","0.41","0.35"
"24","A","Fir","yes",3,3,"0.72","0.55","0.90"
"25","H","Bol","yes",3,3,"2.20","-0.38","0.52"
"26","A","Udi","yes",1,0,"1.38","0.14","0.66"
"27","H","Nap","yes",0,-1,"1.07","0.33","0.99"
"28","A","Cag","no",NA,NA,"1.83","-0.14","0.85"
"29","H","Ven","no",NA,NA,"2.18","-0.36","0.49"
"30","A","Rom","no",NA,NA,"0.98","0.39","0.87"
"31","H","Sas","no",NA,NA,"1.72","-0.08","0.80"
"32","A","Gen","no",NA,NA,"2.04","-0.28","0.52"
"33","H","Tor","no",NA,NA,"2.25","-0.40","0.12"
"34","H","Mil","no",NA,NA,"1.05","0.34","0.46"
"35","A","Spe","no",NA,NA,"1.81","-0.13","0.33"
"36","H","Sam","no",NA,NA,"2.27","-0.42","-0.09"
"37","A","Juv","no",NA,NA,"0.93","0.42","0.33"
"38","H","Ver","no",NA,NA,"2.12","-0.33","0.00"
