"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Sam","yes",3,1,"2.31","-0.16","-0.16"
"2","H","Cag","yes",3,3,"2.15","-0.07","-0.23"
"3","H","Laz","yes",3,2,"1.88","0.06","-0.17"
"4","A","Juv","yes",1,0,"1.81","0.10","-0.08"
"5","H","Ven","yes",3,2,"2.14","-0.07","-0.15"
"6","A","Spe","yes",3,1,"2.43","-0.22","-0.36"
"7","A","Ata","yes",3,1,"2.28","-0.14","-0.50"
"8","H","Ver","yes",3,1,"2.11","-0.06","-0.56"
"9","A","Bol","yes",3,2,"2.08","-0.04","-0.60"
"10","H","Tor","yes",3,1,"2.24","-0.12","-0.72"
"11","A","Rom","yes",3,1,"1.85","0.07","-0.64"
"12","H","Int","yes",1,0,"1.21","0.40","-0.24"
"13","A","Fir","yes",0,-1,"1.54","0.23","-0.02"
"14","H","Sas","yes",0,-2,"1.71","0.15","0.13"
"15","A","Gen","yes",3,3,"2.62","-0.31","-0.18"
"16","H","Sal","yes",3,2,"2.33","-0.16","-0.34"
"17","A","Udi","yes",1,0,"2.20","-0.10","-0.44"
"18","H","Nap","yes",0,-1,"1.17","0.42","-0.03"
"19","A","Emp","yes",3,2,"2.46","-0.23","-0.26"
"20","H","Rom","yes",3,2,"1.98","0.01","-0.24"
"21","A","Ven","yes",3,3,"2.48","-0.24","-0.49"
"22","H","Spe","yes",0,-1,"2.09","-0.05","-0.53"
"23","H","Juv","yes",1,0,"1.42","0.29","-0.24"
"24","A","Int","yes",3,1,"1.41","0.30","0.05"
"25","H","Sam","yes",3,1,"2.21","-0.10","-0.05"
"26","A","Sal","yes",1,0,"2.57","-0.28","-0.33"
"27","H","Udi","no",NA,NA,"2.23","-0.11","-0.45"
"28","A","Nap","no",NA,NA,"1.73","0.14","-0.31"
"29","H","Emp","no",NA,NA,"1.73","0.14","-0.17"
"30","A","Cag","no",NA,NA,"2.48","-0.24","-0.41"
"31","H","Bol","no",NA,NA,"2.16","-0.08","-0.49"
"32","A","Tor","no",NA,NA,"1.90","0.05","-0.44"
"33","H","Gen","no",NA,NA,"2.32","-0.16","-0.60"
"34","A","Laz","no",NA,NA,"1.64","0.18","-0.42"
"35","H","Fir","no",NA,NA,"1.94","0.03","-0.39"
"36","A","Ver","no",NA,NA,"1.87","0.06","-0.33"
"37","H","Ata","no",NA,NA,"0.94","0.53","0.20"
"38","A","Sas","no",NA,NA,"2.40","-0.20","-0.00"
