"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Bol","yes",0,-1,"0.59","0.19","0.19"
"2","H","Rom","yes",0,-4,"0.97","-0.35","-0.17"
"3","A","Tor","yes",0,-4,"0.49","0.32","0.16"
"4","H","Ata","yes",0,-1,"0.14","0.80","0.96"
"5","H","Ver","yes",1,0,"1.14","-0.58","0.38"
"6","A","Sas","yes",0,-1,"0.87","-0.21","0.17"
"7","H","Gen","yes",3,1,"1.19","-0.65","-0.48"
"8","A","Spe","yes",0,-1,"0.97","-0.34","-0.82"
"9","H","Emp","yes",0,-2,"0.48","0.33","-0.49"
"10","A","Ven","yes",3,1,"1.05","-0.46","-0.96"
"11","H","Nap","yes",0,-1,"0.36","0.50","-0.45"
"12","A","Laz","yes",0,-3,"0.39","0.46","0.01"
"13","H","Sam","yes",0,-2,"1.01","-0.40","-0.39"
"14","A","Cag","yes",1,0,"1.23","-0.71","-1.10"
"15","H","Juv","yes",0,-2,"0.44","0.39","-0.71"
"16","A","Mil","yes",0,-2,"0.31","0.56","-0.14"
"17","A","Fir","no",NA,NA,"0.31","0.56","0.42"
"18","H","Int","no",NA,NA,"0.28","0.62","1.04"
"19","A","Udi","no",NA,NA,"0.76","-0.06","0.98"
"20","H","Ven","no",NA,NA,"1.10","-0.53","0.45"
"21","A","Ver","no",NA,NA,"0.38","0.48","0.93"
"22","H","Laz","no",NA,NA,"0.82","-0.14","0.78"
"23","A","Nap","no",NA,NA,"0.26","0.64","1.42"
"24","H","Spe","no",NA,NA,"1.31","-0.81","0.61"
"25","A","Gen","no",NA,NA,"1.31","-0.82","-0.21"
"26","H","Mil","no",NA,NA,"0.27","0.62","0.41"
"27","H","Bol","no",NA,NA,"0.82","-0.13","0.28"
"28","A","Int","no",NA,NA,"0.21","0.71","0.98"
"29","H","Sas","no",NA,NA,"0.67","0.07","1.05"
"30","A","Juv","no",NA,NA,"0.47","0.34","1.39"
"31","H","Tor","no",NA,NA,"1.15","-0.60","0.79"
"32","A","Rom","no",NA,NA,"0.31","0.57","1.36"
"33","A","Sam","no",NA,NA,"0.88","-0.23","1.13"
"34","H","Fir","no",NA,NA,"0.75","-0.05","1.09"
"35","A","Ata","no",NA,NA,"0.65","0.09","1.18"
"36","H","Cag","no",NA,NA,"1.13","-0.57","0.60"
"37","A","Emp","no",NA,NA,"0.84","-0.16","0.44"
"38","H","Udi","no",NA,NA,"1.04","-0.44","0.00"
