"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Cag","yes",1,0,"1.36","-0.37","-0.37"
"2","A","Laz","yes",0,-5,"0.40","0.60","0.22"
"3","H","Udi","yes",0,-1,"1.33","-0.34","-0.12"
"4","A","Ven","yes",3,1,"0.96","0.03","-0.09"
"5","H","Juv","yes",0,-1,"0.83","0.16","0.07"
"6","H","Mil","yes",0,-1,"0.49","0.51","0.58"
"7","A","Ver","yes",0,-4,"0.50","0.49","1.07"
"8","H","Sal","yes",3,1,"1.75","-0.77","0.30"
"9","A","Sam","yes",0,-1,"1.07","-0.08","0.22"
"10","H","Gen","yes",1,0,"1.64","-0.66","-0.44"
"11","A","Fir","yes",0,-3,"0.40","0.59","0.15"
"12","H","Tor","yes",3,1,"1.53","-0.54","-0.39"
"13","A","Ata","yes",0,-3,"0.90","0.09","-0.30"
"14","H","Bol","no",NA,NA,"1.56","-0.57","-0.87"
"15","A","Int","no",NA,NA,"0.41","0.59","-0.28"
"16","H","Sas","no",NA,NA,"1.23","-0.25","-0.53"
"17","A","Rom","no",NA,NA,"0.29","0.70","0.18"
"18","H","Emp","no",NA,NA,"0.57","0.42","0.60"
"19","A","Nap","no",NA,NA,"0.32","0.68","1.28"
"20","H","Ver","no",NA,NA,"1.60","-0.62","0.66"
"21","A","Gen","no",NA,NA,"1.30","-0.31","0.35"
"22","A","Mil","no",NA,NA,"0.30","0.70","1.05"
"23","H","Sam","no",NA,NA,"1.69","-0.71","0.33"
"24","A","Sal","no",NA,NA,"1.14","-0.15","0.18"
"25","H","Fir","no",NA,NA,"1.16","-0.18","0.01"
"26","A","Bol","no",NA,NA,"0.50","0.49","0.50"
"27","H","Rom","no",NA,NA,"1.42","-0.44","0.06"
"28","A","Juv","no",NA,NA,"0.58","0.41","0.47"
"29","H","Cag","no",NA,NA,"1.63","-0.65","-0.18"
"30","A","Sas","no",NA,NA,"0.99","-0.00","-0.19"
"31","H","Ven","no",NA,NA,"1.76","-0.78","-0.97"
"32","A","Emp","no",NA,NA,"1.47","-0.48","-1.45"
"33","H","Int","no",NA,NA,"0.65","0.34","-1.11"
"34","A","Tor","no",NA,NA,"0.69","0.30","-0.81"
"35","H","Laz","no",NA,NA,"1.46","-0.47","-1.28"
"36","H","Ata","no",NA,NA,"0.47","0.52","-0.76"
"37","A","Udi","no",NA,NA,"0.85","0.14","-0.62"
"38","H","Nap","no",NA,NA,"0.37","0.62","0.00"
