"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Nap","yes",0,-2,"0.32","0.67","0.67"
"2","A","Udi","yes",0,-3,"0.85","0.13","0.80"
"3","A","Emp","yes",3,1,"1.46","-0.49","0.31"
"4","H","Spe","yes",0,-1,"1.77","-0.80","-0.49"
"5","A","Mil","yes",0,-2,"0.30","0.69","0.20"
"6","H","Tor","yes",1,0,"1.54","-0.57","-0.36"
"7","A","Cag","yes",1,0,"1.35","-0.38","-0.74"
"8","H","Fir","yes",3,1,"1.14","-0.16","-0.91"
"9","A","Sas","yes",0,-2,"0.99","-0.01","-0.92"
"10","H","Sal","yes",0,-1,"1.73","-0.76","-1.68"
"11","A","Gen","yes",1,0,"1.29","-0.32","-2.00"
"12","H","Rom","yes",3,1,"1.41","-0.43","-2.43"
"13","A","Bol","no",NA,NA,"0.48","0.51","-1.92"
"14","H","Int","no",NA,NA,"0.67","0.32","-1.60"
"15","A","Ata","no",NA,NA,"0.88","0.10","-1.50"
"16","H","Ver","no",NA,NA,"1.58","-0.61","-2.11"
"17","H","Juv","no",NA,NA,"0.82","0.16","-1.95"
"18","A","Sam","no",NA,NA,"1.06","-0.08","-2.02"
"19","H","Laz","no",NA,NA,"1.44","-0.46","-2.49"
"20","A","Sal","no",NA,NA,"1.14","-0.16","-2.65"
"21","H","Mil","no",NA,NA,"0.33","0.66","-1.98"
"22","H","Emp","no",NA,NA,"0.55","0.44","-1.55"
"23","A","Int","no",NA,NA,"0.40","0.59","-0.96"
"24","H","Nap","no",NA,NA,"0.39","0.60","-0.36"
"25","A","Tor","no",NA,NA,"0.69","0.30","-0.05"
"26","H","Gen","no",NA,NA,"1.62","-0.65","-0.70"
"27","A","Ver","no",NA,NA,"0.51","0.48","-0.22"
"28","H","Sas","no",NA,NA,"1.21","-0.23","-0.45"
"29","A","Laz","no",NA,NA,"0.40","0.59","0.14"
"30","H","Sam","no",NA,NA,"1.68","-0.71","-0.57"
"31","A","Spe","no",NA,NA,"0.93","0.05","-0.52"
"32","H","Udi","no",NA,NA,"1.30","-0.32","-0.84"
"33","A","Fir","no",NA,NA,"0.57","0.41","-0.43"
"34","H","Ata","no",NA,NA,"0.46","0.53","0.10"
"35","A","Juv","no",NA,NA,"0.56","0.43","0.53"
"36","H","Bol","no",NA,NA,"1.54","-0.56","-0.04"
"37","A","Rom","no",NA,NA,"0.28","0.72","0.68"
"38","H","Cag","no",NA,NA,"1.65","-0.68","0.00"
