"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Sam","yes",3,2,2,"2.61","-0.49","-0.49"
"2","H","Mil","yes",1,0,1,"1.42","0.19","-0.31"
"3","A","Ver","yes",3,1,1,"2.34","-0.34","-0.64"
"4","H","Tor","yes",3,2,3,"1.45","0.17","-0.47"
"5","A","Mon","yes",3,2,2,"1.97","-0.13","-0.60"
"6","H","Cre","yes",1,0,1,"2.36","-0.35","-0.95"
"7","A","Rom","yes",3,1,1,"1.54","0.12","-0.83"
"8","H","Fir","yes",3,1,1,"1.93","-0.10","-0.93"
"9","A","Udi","yes",1,0,2,"1.88","-0.08","-1.01"
"10","H","Sas","yes",3,1,2,"2.19","-0.25","-1.26"
"11","H","Laz","yes",0,-2,0,"1.18","0.32","-0.94"
"12","A","Emp","yes",3,2,2,"2.04","-0.17","-1.11"
"13","H","Nap","yes",0,-1,1,"0.44","0.75","-0.36"
"14","A","Lec","yes",0,-1,1,"2.11","-0.21","-0.57"
"15","H","Int","yes",0,-1,2,"1.20","0.31","-0.25"
"16","A","Spe","yes",1,0,2,"2.20","-0.26","-0.51"
"17","A","Bol","yes",3,1,2,"1.99","-0.14","-0.65"
"18","H","Sal","yes",3,6,8,"1.97","-0.13","-0.78"
"19","A","Juv","no",NA,NA,NA,"0.92","0.47","-0.31"
"20","H","Sam","no",NA,NA,NA,"2.25","-0.28","-0.59"
"21","A","Sas","no",NA,NA,NA,"2.18","-0.25","-0.84"
"22","A","Laz","no",NA,NA,NA,"1.57","0.10","-0.74"
"23","H","Lec","no",NA,NA,NA,"2.02","-0.16","-0.90"
"24","A","Mil","no",NA,NA,NA,"0.88","0.50","-0.40"
"25","H","Udi","no",NA,NA,NA,"1.47","0.16","-0.24"
"26","A","Nap","no",NA,NA,NA,"0.64","0.64","0.40"
"27","H","Emp","no",NA,NA,NA,"1.84","-0.05","0.34"
"28","A","Cre","no",NA,NA,NA,"2.62","-0.50","-0.16"
"29","H","Bol","no",NA,NA,NA,"1.67","0.04","-0.11"
"30","A","Fir","no",NA,NA,NA,"1.97","-0.13","-0.24"
"31","H","Rom","no",NA,NA,NA,"0.89","0.49","0.25"
"32","A","Tor","no",NA,NA,NA,"2.14","-0.23","0.03"
"33","H","Spe","no",NA,NA,NA,"1.93","-0.10","-0.08"
"34","H","Juv","no",NA,NA,NA,"1.36","0.22","0.14"
"35","A","Sal","no",NA,NA,NA,"2.22","-0.27","-0.12"
"36","H","Ver","no",NA,NA,NA,"2.35","-0.34","-0.47"
"37","A","Int","no",NA,NA,NA,"0.76","0.56","0.10"
"38","H","Mon","no",NA,NA,NA,"1.92","-0.10","-0.00"
