"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Fir","yes",0,-1,2,"0.45","0.13","0.13"
"2","A","Rom","yes",0,-1,0,"0.31","0.40","0.53"
"3","H","Tor","yes",0,-1,1,"0.45","0.13","0.67"
"4","A","Int","yes",0,-2,1,"0.12","0.77","1.43"
"5","H","Sas","yes",1,0,0,"0.91","-0.73","0.70"
"6","A","Ata","yes",1,0,1,"0.41","0.22","0.92"
"7","H","Laz","yes",0,-4,0,"0.28","0.47","1.39"
"8","A","Lec","yes",1,0,1,"0.61","-0.16","1.23"
"9","H","Nap","yes",0,-3,1,"0.10","0.81","2.04"
"10","A","Spe","yes",1,0,2,"0.69","-0.32","1.72"
"11","H","Sam","yes",0,-1,0,"0.92","-0.76","0.96"
"12","H","Udi","yes",1,0,0,"0.40","0.23","1.19"
"13","A","Sal","yes",1,0,2,"0.70","-0.33","0.86"
"14","H","Mil","yes",1,0,0,"0.38","0.27","1.13"
"15","A","Emp","yes",0,-2,0,"0.63","-0.21","0.93"
"16","H","Juv","yes",0,-1,0,"0.35","0.33","1.25"
"17","A","Ver","yes",0,-2,0,"1.02","-0.95","0.31"
"18","H","Mon","yes",0,-1,2,"0.65","-0.25","0.06"
"19","A","Bol","no",NA,NA,NA,"0.53","-0.01","0.05"
"20","H","Int","no",NA,NA,NA,"0.29","0.45","0.50"
"21","H","Lec","no",NA,NA,NA,"0.65","-0.24","0.26"
"22","A","Nap","no",NA,NA,NA,"0.10","0.81","1.07"
"23","A","Tor","no",NA,NA,NA,"0.65","-0.24","0.83"
"24","H","Rom","no",NA,NA,NA,"0.20","0.62","1.45"
"25","A","Sas","no",NA,NA,NA,"0.67","-0.27","1.18"
"26","H","Fir","no",NA,NA,NA,"0.66","-0.26","0.92"
"27","A","Mon","no",NA,NA,NA,"0.52","0.00","0.92"
"28","H","Ata","no",NA,NA,NA,"0.23","0.56","1.48"
"29","A","Sam","no",NA,NA,NA,"1.31","-1.51","-0.03"
"30","H","Emp","no",NA,NA,NA,"0.61","-0.16","-0.20"
"31","A","Udi","no",NA,NA,NA,"0.46","0.11","-0.08"
"32","H","Ver","no",NA,NA,NA,"1.14","-1.19","-1.27"
"33","A","Mil","no",NA,NA,NA,"0.14","0.73","-0.54"
"34","H","Spe","no",NA,NA,NA,"0.68","-0.29","-0.83"
"35","A","Juv","no",NA,NA,NA,"0.15","0.72","-0.12"
"36","H","Bol","no",NA,NA,NA,"0.50","0.05","-0.07"
"37","A","Laz","no",NA,NA,NA,"0.32","0.39","0.32"
"38","H","Sal","no",NA,NA,NA,"0.69","-0.32","0.00"
