"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Cre","yes",3,1,3,"2.19","-0.79","-0.79"
"2","A","Emp","yes",1,0,0,"1.04","0.15","-0.64"
"3","H","Nap","yes",1,0,0,"0.38","0.69","0.05"
"4","A","Udi","yes",0,-1,0,"0.90","0.27","0.32"
"5","H","Juv","yes",1,0,1,"1.24","-0.01","0.31"
"6","A","Bol","yes",0,-1,1,"0.99","0.19","0.50"
"7","H","Ver","yes",3,2,2,"2.21","-0.80","-0.30"
"8","A","Ata","yes",0,-1,0,"0.75","0.39","0.09"
"9","H","Laz","yes",0,-4,0,"1.01","0.18","0.26"
"10","A","Lec","yes",1,0,1,"1.26","-0.02","0.24"
"11","H","Int","yes",0,-1,3,"1.04","0.15","0.40"
"12","A","Spe","yes",3,1,2,"1.30","-0.06","0.33"
"13","A","Sam","yes",3,2,2,"2.04","-0.66","-0.32"
"14","H","Sal","yes",3,1,2,"1.65","-0.34","-0.67"
"15","A","Mil","yes",0,-1,1,"0.43","0.65","-0.02"
"16","H","Mon","yes",1,0,1,"1.52","-0.24","-0.26"
"17","H","Sas","yes",3,1,2,"1.79","-0.45","-0.71"
"18","A","Rom","yes",0,-2,0,"0.65","0.47","-0.24"
"19","H","Tor","yes",0,-1,0,"1.30","-0.06","-0.30"
"20","A","Laz","yes",1,0,1,"0.64","0.48","0.18"
"21","H","Bol","no",NA,NA,NA,"1.52","-0.24","-0.06"
"22","A","Juv","no",NA,NA,NA,"0.46","0.63","0.57"
"23","H","Emp","no",NA,NA,NA,"1.45","-0.18","0.39"
"24","A","Ver","no",NA,NA,NA,"1.51","-0.23","0.17"
"25","H","Mil","no",NA,NA,NA,"1.33","-0.09","0.08"
"26","A","Cre","no",NA,NA,NA,"2.00","-0.63","-0.55"
"27","H","Lec","no",NA,NA,NA,"1.86","-0.51","-1.06"
"28","A","Int","no",NA,NA,NA,"0.39","0.68","-0.38"
"29","H","Spe","no",NA,NA,NA,"1.88","-0.53","-0.91"
"30","H","Ata","no",NA,NA,NA,"0.85","0.31","-0.59"
"31","A","Mon","no",NA,NA,NA,"1.04","0.15","-0.44"
"32","H","Sam","no",NA,NA,NA,"2.14","-0.74","-1.19"
"33","A","Sal","no",NA,NA,NA,"1.29","-0.05","-1.24"
"34","A","Nap","no",NA,NA,NA,"0.20","0.83","-0.40"
"35","H","Udi","no",NA,NA,NA,"1.26","-0.02","-0.43"
"36","A","Tor","no",NA,NA,NA,"1.20","0.03","-0.40"
"37","H","Rom","no",NA,NA,NA,"0.75","0.39","-0.01"
"38","A","Sas","no",NA,NA,NA,"1.21","0.01","-0.00"
