"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Ver","yes",3,3,5,"2.72","-0.08","-0.08"
"2","H","Mon","yes",3,4,4,"2.70","-0.08","-0.16"
"3","A","Fir","yes",1,0,0,"2.54","-0.01","-0.17"
"4","H","Lec","yes",1,0,1,"2.73","-0.09","-0.26"
"5","A","Laz","yes",3,1,2,"2.29","0.09","-0.18"
"6","H","Spe","yes",3,1,1,"2.70","-0.08","-0.25"
"7","A","Mil","yes",3,1,2,"1.68","0.33","0.08"
"8","H","Tor","yes",3,2,3,"2.50","0.00","0.08"
"9","A","Cre","yes",3,3,4,"2.84","-0.13","-0.05"
"10","H","Bol","yes",3,1,3,"2.60","-0.04","-0.09"
"11","A","Rom","yes",3,1,1,"2.28","0.09","-0.00"
"12","H","Sas","yes",3,4,4,"2.78","-0.11","-0.11"
"13","A","Ata","yes",3,1,2,"2.42","0.03","-0.08"
"14","H","Emp","yes",3,2,2,"2.67","-0.06","-0.14"
"15","H","Udi","yes",3,1,3,"2.48","0.01","-0.13"
"16","A","Int","yes",0,-1,0,"1.54","0.39","0.25"
"17","A","Sam","yes",3,2,2,"2.85","-0.14","0.12"
"18","H","Juv","yes",3,4,5,"2.46","0.02","0.14"
"19","A","Sal","yes",3,2,2,"2.66","-0.06","0.08"
"20","H","Rom","no",NA,NA,NA,"2.12","0.15","0.23"
"21","A","Spe","no",NA,NA,NA,"2.65","-0.06","0.17"
"22","H","Cre","no",NA,NA,NA,"2.83","-0.13","0.04"
"23","A","Sas","no",NA,NA,NA,"2.64","-0.05","-0.01"
"24","A","Emp","no",NA,NA,NA,"2.57","-0.03","-0.04"
"25","H","Laz","no",NA,NA,NA,"2.35","0.06","0.02"
"26","H","Ata","no",NA,NA,NA,"2.22","0.12","0.14"
"27","A","Tor","no",NA,NA,NA,"2.63","-0.05","0.09"
"28","H","Mil","no",NA,NA,NA,"2.49","0.01","0.10"
"29","A","Lec","no",NA,NA,NA,"2.61","-0.04","0.06"
"30","H","Ver","no",NA,NA,NA,"2.83","-0.13","-0.07"
"31","A","Juv","no",NA,NA,NA,"1.73","0.31","0.24"
"32","H","Sal","no",NA,NA,NA,"2.71","-0.08","0.16"
"33","A","Udi","no",NA,NA,NA,"2.48","0.01","0.16"
"34","H","Fir","no",NA,NA,NA,"2.70","-0.08","0.09"
"35","A","Mon","no",NA,NA,NA,"2.53","-0.01","0.08"
"36","H","Int","no",NA,NA,NA,"2.36","0.06","0.13"
"37","A","Bol","no",NA,NA,NA,"2.55","-0.02","0.12"
"38","H","Sam","no",NA,NA,NA,"2.80","-0.12","0.00"
