"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Sal","yes",3,1,1,"1.94","-0.10","-0.10"
"2","H","Cre","yes",3,1,1,"2.52","-0.43","-0.52"
"3","A","Juv","yes",1,0,1,"0.77","0.56","0.04"
"4","H","Mon","yes",3,3,3,"2.06","-0.17","-0.13"
"5","A","Udi","yes",0,-4,0,"1.66","0.06","-0.07"
"6","A","Emp","yes",3,1,2,"1.76","0.00","-0.07"
"7","H","Ata","yes",0,-1,0,"1.50","0.15","0.08"
"8","A","Int","yes",3,1,2,"0.98","0.45","0.53"
"9","H","Lec","yes",3,1,2,"2.23","-0.26","0.27"
"10","A","Sam","yes",3,1,1,"2.35","-0.33","-0.06"
"11","H","Nap","yes",0,-1,0,"0.59","0.66","0.60"
"12","A","Ver","yes",3,2,3,"2.03","-0.15","0.45"
"13","H","Laz","yes",0,-1,0,"1.33","0.25","0.70"
"14","A","Sas","yes",1,0,1,"1.60","0.10","0.79"
"15","H","Tor","yes",1,0,1,"1.89","-0.07","0.72"
"16","H","Bol","yes",3,1,1,"1.99","-0.13","0.59"
"17","A","Mil","yes",1,0,2,"0.81","0.54","1.14"
"18","H","Fir","yes",3,2,2,"1.95","-0.10","1.03"
"19","A","Spe","yes",3,2,2,"1.95","-0.11","0.93"
"20","A","Nap","yes",0,-1,1,"0.61","0.65","1.58"
"21","H","Emp","yes",3,2,2,"2.18","-0.24","1.34"
"22","A","Lec","yes",1,0,1,"2.00","-0.13","1.21"
"23","H","Ver","yes",3,1,1,"2.58","-0.46","0.75"
"24","A","Cre","yes",0,-1,1,"2.38","-0.35","0.40"
"25","H","Juv","yes",3,1,1,"1.52","0.14","0.54"
"26","H","Sas","yes",0,-1,3,"2.01","-0.14","0.40"
"27","A","Laz","yes",0,-1,0,"1.15","0.35","0.75"
"28","H","Sam","yes",3,3,3,"2.49","-0.41","0.34"
"29","A","Tor","no",NA,NA,NA,"1.65","0.07","0.41"
"30","H","Udi","no",NA,NA,NA,"1.95","-0.10","0.30"
"31","A","Ata","no",NA,NA,NA,"1.43","0.19","0.49"
"32","H","Mil","no",NA,NA,NA,"1.83","-0.04","0.45"
"33","A","Mon","no",NA,NA,NA,"1.85","-0.05","0.41"
"34","H","Int","no",NA,NA,NA,"1.93","-0.09","0.32"
"35","A","Bol","no",NA,NA,NA,"1.50","0.15","0.47"
"36","H","Sal","no",NA,NA,NA,"2.27","-0.28","0.18"
"37","A","Fir","no",NA,NA,NA,"1.50","0.15","0.33"
"38","H","Spe","no",NA,NA,NA,"2.35","-0.33","0.00"
