"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Rom","yes",0,-1,0,"0.51","0.60","0.60"
"2","A","Udi","yes",1,0,0,"0.92","0.27","0.87"
"3","H","Sam","yes",3,4,4,"1.92","-0.52","0.35"
"4","A","Bol","yes",1,0,1,"1.37","-0.09","0.25"
"5","H","Emp","yes",1,0,2,"1.52","-0.21","0.05"
"6","A","Juv","yes",1,0,2,"0.65","0.48","0.53"
"7","H","Lec","yes",0,-1,1,"1.59","-0.26","0.27"
"8","A","Sas","yes",0,-5,0,"1.25","0.01","0.27"
"9","H","Ver","yes",3,1,2,"2.05","-0.63","-0.35"
"10","A","Int","yes",0,-2,0,"0.65","0.49","0.13"
"11","H","Spe","yes",3,1,1,"2.07","-0.65","-0.51"
"12","A","Laz","yes",3,2,3,"0.88","0.30","-0.21"
"13","H","Cre","yes",1,0,2,"1.85","-0.47","-0.68"
"14","A","Fir","no",NA,NA,NA,"1.35","-0.07","-0.75"
"15","A","Mon","no",NA,NA,NA,"1.55","-0.23","-0.98"
"16","H","Mil","no",NA,NA,NA,"0.97","0.23","-0.74"
"17","H","Tor","no",NA,NA,NA,"1.05","0.16","-0.58"
"18","A","Ata","no",NA,NA,NA,"0.96","0.24","-0.35"
"19","H","Nap","no",NA,NA,NA,"0.22","0.83","0.48"
"20","A","Lec","no",NA,NA,NA,"2.01","-0.60","-0.12"
"21","H","Juv","no",NA,NA,NA,"1.15","0.08","-0.03"
"22","A","Ver","no",NA,NA,NA,"1.93","-0.53","-0.57"
"23","H","Laz","no",NA,NA,NA,"0.57","0.55","-0.02"
"24","H","Mon","no",NA,NA,NA,"1.66","-0.32","-0.34"
"25","A","Sam","no",NA,NA,NA,"2.15","-0.71","-1.05"
"26","A","Mil","no",NA,NA,NA,"0.43","0.66","-0.39"
"27","H","Bol","no",NA,NA,NA,"1.37","-0.09","-0.48"
"28","A","Spe","no",NA,NA,NA,"1.66","-0.32","-0.80"
"29","H","Int","no",NA,NA,NA,"0.91","0.28","-0.52"
"30","A","Tor","no",NA,NA,NA,"1.37","-0.09","-0.61"
"31","H","Sas","no",NA,NA,NA,"1.56","-0.24","-0.85"
"32","A","Nap","no",NA,NA,NA,"0.41","0.68","-0.17"
"33","H","Fir","no",NA,NA,NA,"1.43","-0.14","-0.31"
"34","A","Emp","no",NA,NA,NA,"1.59","-0.26","-0.57"
"35","H","Ata","no",NA,NA,NA,"0.42","0.67","0.10"
"36","A","Rom","no",NA,NA,NA,"0.96","0.24","0.34"
"37","H","Udi","no",NA,NA,NA,"0.88","0.30","0.64"
"38","A","Cre","no",NA,NA,NA,"2.06","-0.64","0.00"
