"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Emp","yes",3,1,1,"1.11","-0.16","-0.16"
"2","A","Int","yes",0,-3,0,"0.26","0.73","0.57"
"3","H","Sas","yes",1,0,2,"1.36","-0.42","0.15"
"4","A","Juv","yes",0,-2,0,"0.36","0.62","0.77"
"5","H","Bol","yes",1,0,2,"0.91","0.05","0.82"
"6","A","Nap","yes",0,-1,0,"0.13","0.87","1.69"
"7","H","Sam","yes",3,1,2,"1.71","-0.79","0.90"
"8","A","Laz","yes",0,-4,0,"0.59","0.38","1.27"
"9","A","Mon","yes",0,-2,0,"1.02","-0.07","1.21"
"10","H","Cre","yes",1,0,2,"1.80","-0.89","0.32"
"11","A","Sal","yes",0,-1,0,"1.22","-0.28","0.04"
"12","H","Fir","yes",0,-1,1,"1.35","-0.42","-0.38"
"13","A","Mil","yes",0,-1,1,"0.31","0.67","0.30"
"14","H","Udi","yes",1,0,1,"0.99","-0.04","0.26"
"15","A","Ver","yes",3,1,2,"1.13","-0.19","0.07"
"16","H","Ata","yes",1,0,2,"0.57","0.40","0.47"
"17","H","Lec","yes",1,0,0,"1.16","-0.21","0.26"
"18","A","Tor","yes",3,1,1,"0.95","-0.00","0.26"
"19","H","Rom","yes",0,-2,0,"0.52","0.45","0.71"
"20","A","Bol","yes",0,-2,0,"0.91","0.04","0.75"
"21","H","Nap","yes",0,-3,0,"0.18","0.81","1.56"
"22","A","Emp","yes",1,0,2,"0.97","-0.01","1.55"
"23","H","Juv","yes",0,-2,0,"0.66","0.30","1.85"
"24","A","Udi","no",NA,NA,NA,"0.91","0.04","1.89"
"25","H","Ver","no",NA,NA,NA,"1.81","-0.90","1.00"
"26","H","Int","no",NA,NA,NA,"0.78","0.18","1.18"
"27","A","Sas","no",NA,NA,NA,"0.91","0.05","1.23"
"28","H","Sal","no",NA,NA,NA,"1.35","-0.42","0.81"
"29","A","Fir","no",NA,NA,NA,"0.93","0.02","0.83"
"30","H","Laz","no",NA,NA,NA,"0.66","0.31","1.14"
"31","A","Sam","no",NA,NA,NA,"1.82","-0.91","0.23"
"32","H","Mon","no",NA,NA,NA,"0.96","-0.01","0.22"
"33","A","Ata","no",NA,NA,NA,"0.75","0.21","0.43"
"34","A","Cre","no",NA,NA,NA,"1.90","-0.99","-0.56"
"35","H","Mil","no",NA,NA,NA,"0.85","0.11","-0.44"
"36","A","Lec","no",NA,NA,NA,"1.04","-0.09","-0.53"
"37","H","Tor","no",NA,NA,NA,"0.95","0.00","-0.53"
"38","A","Rom","no",NA,NA,NA,"0.45","0.53","-0.00"
