"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Mon","yes",3,1,2,"1.65","-0.18","-0.18"
"2","H","Laz","yes",1,0,0,"0.64","0.54","0.36"
"3","A","Cre","yes",3,1,2,"2.27","-0.63","-0.26"
"4","A","Ata","yes",0,-2,1,"1.49","-0.07","-0.33"
"5","H","Lec","yes",3,1,1,"1.51","-0.08","-0.41"
"6","A","Int","yes",0,-1,0,"0.95","0.32","-0.09"
"7","H","Sas","yes",0,-1,0,"1.43","-0.02","-0.11"
"8","A","Nap","yes",0,-2,1,"0.76","0.46","0.34"
"9","H","Emp","yes",1,0,1,"1.60","-0.15","0.20"
"10","H","Juv","yes",0,-1,0,"0.81","0.42","0.62"
"11","A","Udi","yes",3,1,2,"1.60","-0.14","0.48"
"12","H","Mil","yes",3,1,2,"1.08","0.23","0.71"
"13","A","Bol","yes",0,-1,1,"1.57","-0.13","0.58"
"14","H","Sam","yes",3,2,2,"2.02","-0.44","0.14"
"15","A","Rom","yes",1,0,1,"1.18","0.16","0.29"
"16","H","Ver","yes",1,0,1,"1.89","-0.35","-0.06"
"17","A","Sal","yes",1,0,1,"1.78","-0.28","-0.33"
"18","H","Spe","yes",0,-1,0,"1.85","-0.32","-0.65"
"19","A","Fir","yes",3,1,1,"1.47","-0.05","-0.71"
"20","A","Emp","yes",1,0,2,"1.72","-0.23","-0.94"
"21","H","Udi","yes",3,1,1,"1.31","0.06","-0.87"
"22","A","Mil","yes",0,-1,0,"0.86","0.39","-0.49"
"23","H","Cre","yes",1,0,2,"1.86","-0.33","-0.82"
"24","A","Juv","yes",0,-2,2,"0.74","0.47","-0.35"
"25","H","Bol","yes",3,1,1,"1.24","0.12","-0.24"
"26","A","Lec","yes",3,2,2,"2.10","-0.50","-0.74"
"27","H","Nap","yes",0,-4,0,"0.27","0.81","0.07"
"28","A","Sas","yes",1,0,1,"1.49","-0.06","0.00"
"29","H","Rom","yes",0,-1,0,"0.90","0.36","0.36"
"30","H","Sal","yes",1,0,1,"1.54","-0.11","0.26"
"31","A","Laz","yes",3,1,1,"1.18","0.15","0.41"
"32","H","Ata","yes",0,-1,1,"0.75","0.46","0.87"
"33","A","Sam","yes",3,2,2,"2.49","-0.78","0.09"
"34","H","Mon","yes",1,0,1,"1.04","0.25","0.35"
"35","A","Ver","yes",3,1,1,"1.98","-0.42","-0.07"
"36","H","Fir","no",NA,NA,NA,"1.24","0.11","0.04"
"37","A","Spe","no",NA,NA,NA,"2.01","-0.44","-0.40"
"38","H","Int","no",NA,NA,NA,"0.84","0.40","0.00"
