"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Nap","yes",0,-3,2,"0.21","0.76","0.76"
"2","A","Bol","yes",1,0,1,"0.62","0.27","1.02"
"3","H","Ata","yes",0,-1,0,"0.62","0.27","1.29"
"4","A","Emp","yes",1,0,1,"0.65","0.23","1.52"
"5","H","Sam","yes",3,1,2,"1.78","-1.09","0.43"
"6","A","Laz","yes",0,-2,0,"0.39","0.54","0.97"
"7","A","Fir","yes",0,-2,0,"0.64","0.25","1.22"
"8","H","Udi","yes",0,-1,1,"1.05","-0.24","0.98"
"9","A","Sal","yes",0,-1,1,"0.87","-0.03","0.95"
"10","H","Mil","yes",0,-1,1,"0.90","-0.06","0.89"
"11","A","Sas","yes",0,-1,1,"0.62","0.27","1.16"
"12","H","Rom","yes",0,-2,1,"0.57","0.33","1.49"
"13","A","Mon","yes",0,-2,0,"0.70","0.17","1.66"
"14","H","Juv","yes",0,-1,0,"0.71","0.16","1.82"
"15","H","Spe","yes",0,-1,1,"1.50","-0.76","1.06"
"16","A","Tor","yes",1,0,1,"0.60","0.30","1.35"
"17","H","Cre","yes",3,2,2,"1.91","-1.25","0.10"
"18","A","Int","yes",0,-1,0,"0.17","0.80","0.90"
"19","H","Lec","yes",3,2,2,"1.23","-0.45","0.46"
"20","A","Udi","yes",1,0,1,"0.62","0.27","0.72"
"21","H","Laz","yes",1,0,1,"0.71","0.17","0.89"
"22","H","Sal","yes",3,1,1,"1.42","-0.68","0.21"
"23","A","Rom","no",NA,NA,NA,"0.31","0.64","0.85"
"24","H","Fir","no",NA,NA,NA,"1.43","-0.68","0.17"
"25","A","Spe","no",NA,NA,NA,"0.85","-0.00","0.17"
"26","H","Mon","no",NA,NA,NA,"1.03","-0.22","-0.05"
"27","A","Sam","no",NA,NA,NA,"1.45","-0.70","-0.75"
"28","A","Juv","no",NA,NA,NA,"0.23","0.73","-0.02"
"29","H","Sas","no",NA,NA,NA,"1.42","-0.67","-0.70"
"30","A","Nap","no",NA,NA,NA,"0.08","0.90","0.20"
"31","H","Bol","no",NA,NA,NA,"0.97","-0.15","0.06"
"32","A","Cre","no",NA,NA,NA,"1.54","-0.82","-0.76"
"33","H","Int","no",NA,NA,NA,"0.84","0.01","-0.75"
"34","A","Lec","no",NA,NA,NA,"0.72","0.15","-0.60"
"35","H","Tor","no",NA,NA,NA,"1.01","-0.19","-0.79"
"36","A","Ata","no",NA,NA,NA,"0.50","0.41","-0.38"
"37","H","Emp","no",NA,NA,NA,"1.17","-0.38","-0.76"
"38","A","Mil","no",NA,NA,NA,"0.20","0.76","0.00"
