"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Nap","yes",0,-2,1,"0.81","0.02","0.02"
"2","H","Ata","yes",3,1,2,"1.01","-0.22","-0.20"
"3","A","Udi","yes",1,0,0,"0.81","0.02","-0.19"
"4","H","Sas","yes",3,2,4,"1.98","-1.39","-1.57"
"5","A","Sal","yes",1,0,1,"1.10","-0.33","-1.90"
"6","H","Fir","yes",1,0,1,"1.21","-0.46","-2.37"
"7","A","Rom","yes",0,-2,0,"0.14","0.83","-1.53"
"8","H","Ver","yes",3,1,2,"1.84","-1.22","-2.75"
"9","A","Bol","yes",0,-1,1,"0.10","0.88","-1.87"
"10","A","Cag","yes",0,-1,3,"0.43","0.48","-1.39"
"11","H","Emp","yes",3,1,2,"1.44","-0.74","-2.13"
"12","A","Int","yes",0,-2,0,"0.06","0.93","-1.20"
"13","H","Gen","yes",3,1,2,"1.57","-0.89","-2.09"
"14","A","Mil","yes",0,-2,1,"0.11","0.86","-1.23"
"15","H","Tor","yes",1,0,0,"1.29","-0.55","-1.78"
"16","A","Lec","yes",0,-1,1,"0.42","0.49","-1.29"
"17","H","Juv","yes",0,-1,1,"0.73","0.12","-1.16"
"18","A","Laz","yes",0,-2,1,"0.25","0.70","-0.46"
"19","H","Mon","yes",0,-1,2,"1.23","-0.49","-0.95"
"20","A","Ata","yes",0,-5,0,"0.12","0.86","-0.09"
"21","H","Cag","yes",3,2,3,"2.10","-1.53","-1.62"
"22","A","Ver","yes",1,0,1,"0.51","0.38","-1.24"
"23","H","Mil","yes",0,-1,2,"0.48","0.42","-0.82"
"24","A","Fir","yes",0,-4,1,"0.22","0.73","-0.09"
"25","H","Rom","yes",0,-3,0,"1.06","-0.28","-0.37"
"26","A","Juv","yes",0,-1,2,"0.15","0.82","0.46"
"27","H","Lec","yes",1,0,1,"1.89","-1.28","-0.82"
"28","A","Sas","yes",0,-1,0,"0.58","0.30","-0.52"
"29","H","Laz","yes",0,-1,2,"1.04","-0.25","-0.77"
"30","A","Gen","yes",1,0,1,"0.35","0.58","-0.20"
"31","H","Bol","no",NA,NA,NA,"1.06","-0.28","-0.48"
"32","A","Nap","no",NA,NA,NA,"0.31","0.62","0.15"
"33","A","Tor","no",NA,NA,NA,"0.25","0.70","0.85"
"34","H","Sal","no",NA,NA,NA,"2.17","-1.62","-0.77"
"35","A","Emp","no",NA,NA,NA,"0.85","-0.02","-0.80"
"36","H","Int","no",NA,NA,NA,"0.13","0.84","0.05"
"37","A","Mon","no",NA,NA,NA,"0.32","0.61","0.66"
"38","H","Udi","no",NA,NA,NA,"1.37","-0.66","0.00"
