"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Bol","yes",3,2,2,"1.25","0.41","0.41"
"2","H","Tor","yes",3,3,4,"2.39","-0.13","0.28"
"3","A","Rom","yes",3,1,2,"1.33","0.38","0.66"
"4","A","Int","yes",0,-4,1,"0.92","0.57","1.23"
"5","H","Ver","yes",3,1,1,"2.61","-0.23","1.00"
"6","A","Cag","yes",3,2,3,"2.18","-0.03","0.97"
"7","H","Laz","yes",3,2,2,"2.16","-0.02","0.96"
"8","A","Gen","yes",3,1,1,"2.15","-0.01","0.95"
"9","H","Juv","yes",0,-1,0,"1.85","0.13","1.07"
"10","A","Nap","yes",1,0,2,"2.14","-0.01","1.07"
"11","H","Udi","yes",0,-1,0,"2.36","-0.11","0.95"
"12","A","Lec","yes",1,0,2,"2.19","-0.03","0.92"
"13","H","Fir","yes",3,1,1,"2.30","-0.08","0.84"
"14","H","Fro","yes",3,2,3,"2.77","-0.30","0.54"
"15","A","Ata","yes",0,-1,2,"1.29","0.39","0.93"
"16","H","Mon","yes",3,3,3,"2.26","-0.06","0.86"
"17","A","Sal","yes",1,0,2,"2.72","-0.28","0.58"
"18","H","Sas","yes",3,1,1,"2.66","-0.25","0.33"
"19","A","Emp","yes",3,3,3,"2.54","-0.20","0.13"
"20","H","Rom","yes",3,2,3,"2.15","-0.01","0.12"
"21","A","Udi","yes",3,1,3,"2.60","-0.22","-0.11"
"22","H","Bol","yes",1,0,2,"2.18","-0.03","-0.13"
"23","A","Fro","yes",3,1,3,"2.23","-0.05","-0.18"
"24","H","Nap","yes",3,1,1,"1.84","0.13","-0.05"
"25","A","Mon","yes",0,-2,2,"2.13","-0.01","-0.06"
"26","H","Ata","yes",1,0,1,"2.20","-0.03","-0.09"
"27","A","Laz","yes",3,1,1,"1.86","0.12","0.03"
"28","H","Emp","yes",3,1,1,"2.45","-0.16","-0.13"
"29","A","Ver","yes",3,2,3,"2.42","-0.14","-0.27"
"30","A","Fir","yes",3,1,2,"1.83","0.14","-0.13"
"31","H","Lec","yes",3,3,3,"2.63","-0.24","-0.37"
"32","A","Sas","yes",1,0,3,"2.42","-0.14","-0.51"
"33","H","Int","no",NA,NA,NA,"0.51","0.76","0.25"
"34","A","Juv","no",NA,NA,NA,"1.39","0.34","0.59"
"35","H","Gen","no",NA,NA,NA,"2.41","-0.14","0.46"
"36","H","Cag","no",NA,NA,NA,"2.68","-0.26","0.19"
"37","A","Tor","no",NA,NA,NA,"1.91","0.10","0.29"
"38","H","Sal","no",NA,NA,NA,"2.75","-0.29","0.00"
