"team","teamId","playedGames","goalDifference","points","rank"
"FC Internazionale Milano",108,28,36,61,1
"SSC Napoli",113,27,21,57,2
"Atalanta BC",102,27,33,55,3
"Juventus FC",109,27,24,52,4
"SS Lazio",110,27,14,50,5
"Bologna FC 1909",103,27,9,47,6
"ACF Fiorentina",99,27,14,45,7
"AC Milan",98,28,10,44,8
"AS Roma",100,27,12,43,9
"Udinese Calcio",115,27,-3,39,10
"Torino FC",586,28,-1,35,11
"Genoa CFC",107,28,-10,32,12
"Como 1907",7397,28,-10,29,13
"Hellas Verona FC",450,27,-29,26,14
"Cagliari Calcio",104,28,-15,26,15
"US Lecce",5890,28,-26,25,16
"Parma Calcio 1913",112,28,-14,24,17
"Empoli FC",445,27,-21,22,18
"Venezia FC",454,28,-19,19,19
"AC Monza",5911,28,-25,14,20
