"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Mon","yes",1,0,0,"1.46","-0.83","-0.83"
"2","A","Rom","yes",3,1,2,"0.50","0.37","-0.46"
"3","A","Bol","yes",1,0,1,"0.49","0.39","-0.07"
"4","H","Juv","yes",1,0,0,"0.37","0.54","0.46"
"5","A","Cag","yes",3,2,2,"1.11","-0.40","0.07"
"6","H","Fir","yes",1,0,0,"0.49","0.38","0.45"
"7","A","Laz","yes",0,-1,1,"0.60","0.25","0.70"
"8","H","Nap","yes",0,-1,0,"0.24","0.70","1.39"
"9","A","Par","yes",1,0,1,"1.32","-0.66","0.74"
"10","H","Int","yes",0,-3,0,"0.25","0.69","1.43"
"11","H","Com","yes",3,1,1,"0.88","-0.10","1.32"
"12","A","Lec","yes",1,0,1,"1.42","-0.78","0.54"
"13","H","Udi","yes",1,0,1,"0.69","0.13","0.67"
"14","A","Mil","yes",0,-3,0,"0.73","0.09","0.75"
"15","A","Ver","yes",3,3,4,"1.29","-0.61","0.14"
"16","H","Tor","yes",0,-1,0,"0.65","0.19","0.33"
"17","A","Ata","yes",0,-1,2,"0.68","0.15","0.48"
"18","H","Gen","yes",0,-1,1,"0.77","0.03","0.51"
"19","A","Ven","yes",1,0,1,"1.42","-0.78","-0.27"
"20","H","Lec","yes",0,-2,1,"1.10","-0.37","-0.65"
"21","A","Int","yes",0,-2,1,"0.28","0.65","0.01"
"22","H","Bol","yes",1,0,1,"0.43","0.46","0.46"
"23","A","Juv","yes",0,-3,1,"0.49","0.39","0.85"
"24","H","Mil","yes",0,-2,0,"0.53","0.33","1.18"
"25","A","Udi","yes",0,-3,0,"0.83","-0.04","1.14"
"26","H","Ata","yes",0,-5,0,"0.21","0.73","1.88"
"27","A","Gen","yes",1,0,1,"1.16","-0.45","1.42"
"28","H","Rom","yes",0,-1,0,"0.56","0.30","1.73"
"29","A","Tor","yes",0,-1,0,"0.94","-0.18","1.55"
"30","A","Com","yes",1,0,1,"1.01","-0.27","1.28"
"31","H","Cag","yes",1,0,0,"1.09","-0.36","0.92"
"32","A","Nap","no",NA,NA,NA,"0.29","0.64","1.56"
"33","H","Ven","no",NA,NA,NA,"1.37","-0.72","0.84"
"34","A","Fir","no",NA,NA,NA,"0.44","0.44","1.28"
"35","H","Laz","no",NA,NA,NA,"0.34","0.58","1.86"
"36","H","Par","no",NA,NA,NA,"1.14","-0.42","1.43"
"37","A","Mon","no",NA,NA,NA,"1.97","-1.47","-0.04"
"38","H","Ver","no",NA,NA,NA,"0.77","0.04","-0.00"
