"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Laz","yes",0,-2,1,"0.08","0.86","0.86"
"2","A","Fir","yes",1,0,0,"0.14","0.76","1.62"
"3","H","Tor","yes",0,-1,0,"0.96","-0.68","0.93"
"4","A","Mil","yes",0,-4,0,"0.20","0.64","1.58"
"5","H","Gen","yes",3,2,2,"0.61","-0.07","1.51"
"6","A","Rom","yes",0,-1,1,"0.40","0.30","1.81"
"7","A","Ver","yes",0,-1,1,"0.59","-0.04","1.77"
"8","H","Ata","yes",0,-2,0,"0.24","0.57","2.34"
"9","A","Mon","yes",1,0,2,"1.05","-0.84","1.50"
"10","H","Udi","yes",3,1,3,"1.00","-0.77","0.73"
"11","A","Int","yes",0,-1,0,"0.13","0.78","1.51"
"12","H","Par","yes",0,-1,1,"0.83","-0.46","1.05"
"13","H","Lec","yes",0,-1,0,"1.20","-1.11","-0.07"
"14","A","Bol","yes",0,-3,0,"0.32","0.43","0.37"
"15","H","Com","yes",1,0,2,"1.25","-1.19","-0.83"
"16","A","Juv","no",NA,NA,NA,"0.26","0.55","-0.28"
"17","H","Cag","no",NA,NA,NA,"1.06","-0.86","-1.14"
"18","A","Nap","no",NA,NA,NA,"0.13","0.77","-0.37"
"19","H","Emp","no",NA,NA,NA,"0.54","0.05","-0.32"
"20","H","Int","no",NA,NA,NA,"0.26","0.55","0.23"
"21","A","Par","no",NA,NA,NA,"0.46","0.19","0.41"
"22","H","Ver","no",NA,NA,NA,"1.42","-1.51","-1.09"
"23","A","Udi","no",NA,NA,NA,"0.28","0.51","-0.58"
"24","H","Rom","no",NA,NA,NA,"1.37","-1.41","-1.99"
"25","A","Gen","no",NA,NA,NA,"0.84","-0.48","-2.48"
"26","H","Laz","no",NA,NA,NA,"0.43","0.24","-2.24"
"27","A","Ata","no",NA,NA,NA,"0.09","0.85","-1.39"
"28","A","Com","no",NA,NA,NA,"0.63","-0.12","-1.50"
"29","H","Nap","no",NA,NA,NA,"0.26","0.54","-0.97"
"30","H","Bol","no",NA,NA,NA,"0.57","-0.00","-0.97"
"31","A","Lec","no",NA,NA,NA,"0.42","0.26","-0.71"
"32","H","Mon","no",NA,NA,NA,"0.93","-0.63","-1.34"
"33","A","Emp","no",NA,NA,NA,"0.43","0.25","-1.08"
"34","H","Mil","no",NA,NA,NA,"0.52","0.08","-1.00"
"35","A","Tor","no",NA,NA,NA,"0.44","0.22","-0.78"
"36","H","Fir","no",NA,NA,NA,"0.31","0.46","-0.32"
"37","A","Cag","no",NA,NA,NA,"0.60","-0.05","-0.37"
"38","H","Juv","no",NA,NA,NA,"0.36","0.37","-0.00"
