"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Laz","yes",3,2,2,"2.13","-0.17","-0.17"
"2","A","Bol","yes",0,-1,0,"1.79","0.02","-0.15"
"3","H","Gen","yes",1,0,1,"2.16","-0.19","-0.34"
"4","A","Fir","yes",3,1,2,"2.22","-0.22","-0.55"
"5","H","Cre","yes",1,0,1,"2.18","-0.19","-0.75"
"6","A","Ata","yes",1,0,1,"1.38","0.24","-0.51"
"7","H","Juv","yes",3,2,2,"1.82","0.00","-0.50"
"8","A","Par","yes",1,0,0,"2.10","-0.15","-0.66"
"9","H","Ver","yes",3,2,3,"2.47","-0.35","-1.01"
"10","A","Nap","yes",1,0,0,"0.72","0.61","-0.41"
"11","H","Cag","yes",1,0,0,"2.19","-0.20","-0.60"
"12","A","Tor","yes",3,4,5,"2.06","-0.13","-0.74"
"13","H","Sas","yes",3,2,2,"2.00","-0.10","-0.83"
"14","A","Int","yes",0,-4,0,"0.70","0.62","-0.22"
"15","A","Rom","yes",0,-1,0,"0.91","0.50","0.28"
"16","A","Lec","yes",3,3,3,"2.22","-0.22","0.06"
"17","H","Udi","yes",3,1,1,"1.96","-0.08","-0.01"
"18","A","Pis","yes",3,3,3,"2.40","-0.32","-0.33"
"19","H","Bol","yes",1,0,1,"1.81","0.01","-0.32"
"20","H","Mil","yes",0,-2,1,"0.94","0.49","0.17"
"21","A","Laz","yes",3,3,3,"1.76","0.04","0.21"
"22","H","Tor","yes",3,6,6,"2.08","-0.14","0.06"
"23","H","Ata","no",NA,NA,NA,"2.06","-0.13","-0.06"
"24","A","Mil","no",NA,NA,NA,"1.01","0.45","0.38"
"25","H","Fir","no",NA,NA,NA,"2.45","-0.34","0.04"
"26","A","Juv","no",NA,NA,NA,"0.82","0.55","0.59"
"27","H","Lec","no",NA,NA,NA,"2.35","-0.29","0.30"
"28","A","Cag","no",NA,NA,NA,"1.85","-0.02","0.29"
"29","H","Rom","no",NA,NA,NA,"1.38","0.24","0.53"
"30","H","Pis","no",NA,NA,NA,"2.48","-0.36","0.17"
"31","A","Udi","no",NA,NA,NA,"1.92","-0.05","0.11"
"32","H","Int","no",NA,NA,NA,"0.68","0.62","0.73"
"33","A","Sas","no",NA,NA,NA,"2.03","-0.12","0.62"
"34","A","Gen","no",NA,NA,NA,"2.28","-0.25","0.37"
"35","H","Nap","no",NA,NA,NA,"1.44","0.21","0.58"
"36","A","Ver","no",NA,NA,NA,"2.40","-0.31","0.26"
"37","H","Par","no",NA,NA,NA,"2.09","-0.15","0.12"
"38","A","Cre","no",NA,NA,NA,"2.03","-0.12","-0.00"
