"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Lec","yes",1,0,0,"0.88","-0.05","-0.05"
"2","H","Juv","yes",0,-1,0,"0.38","0.55","0.50"
"3","A","Com","yes",1,0,1,"0.58","0.31","0.81"
"4","A","Bol","yes",0,-1,1,"0.89","-0.06","0.75"
"5","H","Laz","yes",0,-3,0,"0.76","0.09","0.85"
"6","A","Nap","yes",0,-1,1,"0.27","0.68","1.53"
"7","H","Par","yes",1,0,0,"0.87","-0.03","1.50"
"8","A","Tor","yes",0,-1,1,"1.33","-0.58","0.91"
"9","H","Cre","yes",0,-2,0,"0.70","0.17","1.08"
"10","A","Sas","yes",3,1,2,"1.38","-0.65","0.44"
"11","H","Fir","yes",1,0,2,"1.40","-0.67","-0.23"
"12","A","Cag","yes",1,0,3,"1.41","-0.68","-0.91"
"13","H","Ver","yes",3,1,2,"1.12","-0.34","-1.25"
"14","A","Udi","yes",3,1,2,"1.19","-0.42","-1.67"
"15","H","Int","yes",0,-1,1,"0.12","0.85","-0.81"
"16","H","Ata","yes",0,-1,0,"0.55","0.35","-0.46"
"17","A","Rom","yes",0,-2,1,"0.45","0.46","0.00"
"18","H","Pis","yes",1,0,1,"1.17","-0.40","-0.39"
"19","A","Mil","yes",1,0,1,"0.53","0.37","-0.03"
"20","H","Cag","no",NA,NA,NA,"0.73","0.14","0.11"
"21","A","Par","no",NA,NA,NA,"1.49","-0.77","-0.66"
"22","H","Bol","no",NA,NA,NA,"0.50","0.41","-0.25"
"23","A","Laz","no",NA,NA,NA,"0.98","-0.16","-0.41"
"24","H","Nap","no",NA,NA,NA,"0.29","0.65","0.24"
"25","A","Cre","no",NA,NA,NA,"1.26","-0.50","-0.26"
"26","H","Tor","no",NA,NA,NA,"0.58","0.31","0.05"
"27","A","Int","no",NA,NA,NA,"0.31","0.64","0.69"
"28","H","Rom","no",NA,NA,NA,"0.32","0.62","1.30"
"29","A","Ver","no",NA,NA,NA,"1.67","-0.99","0.31"
"30","H","Udi","no",NA,NA,NA,"0.56","0.33","0.65"
"31","A","Juv","no",NA,NA,NA,"0.41","0.52","1.16"
"32","H","Sas","no",NA,NA,NA,"0.55","0.34","1.50"
"33","A","Pis","no",NA,NA,NA,"1.94","-1.31","0.19"
"34","H","Com","no",NA,NA,NA,"0.38","0.54","0.74"
"35","A","Ata","no",NA,NA,NA,"0.74","0.12","0.85"
"36","A","Fir","no",NA,NA,NA,"1.60","-0.90","-0.05"
"37","H","Mil","no",NA,NA,NA,"0.16","0.81","0.76"
"38","A","Lec","no",NA,NA,NA,"1.48","-0.76","-0.00"
