"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Tor","yes",3,5,5,"2.23","-0.02","-0.02"
"2","H","Udi","yes",0,-1,1,"2.08","0.05","0.03"
"3","A","Juv","yes",0,-1,3,"1.28","0.42","0.44"
"4","H","Sas","yes",3,1,2,"2.40","-0.10","0.34"
"5","A","Cag","yes",3,2,2,"2.61","-0.19","0.15"
"6","H","Cre","yes",3,3,4,"2.32","-0.06","0.09"
"7","A","Rom","yes",3,1,1,"1.72","0.21","0.30"
"8","A","Nap","yes",0,-2,1,"0.97","0.55","0.85"
"9","H","Fir","yes",3,3,3,"2.75","-0.26","0.60"
"10","A","Ver","yes",3,1,2,"2.64","-0.21","0.39"
"11","H","Laz","no",NA,NA,NA,"2.46","-0.13","0.26"
"12","H","Mil","no",NA,NA,NA,"1.53","0.30","0.56"
"13","A","Pis","no",NA,NA,NA,"2.47","-0.13","0.43"
"14","H","Com","no",NA,NA,NA,"2.26","-0.03","0.40"
"15","A","Gen","no",NA,NA,NA,"2.73","-0.25","0.15"
"16","A","Ata","no",NA,NA,NA,"2.16","0.01","0.16"
"17","H","Bol","no",NA,NA,NA,"2.36","-0.08","0.08"
"18","A","Par","no",NA,NA,NA,"2.54","-0.16","-0.08"
"19","H","Nap","no",NA,NA,NA,"1.82","0.17","0.08"
"20","H","Lec","no",NA,NA,NA,"2.59","-0.18","-0.10"
"21","A","Udi","no",NA,NA,NA,"2.07","0.05","-0.05"
"22","H","Pis","no",NA,NA,NA,"2.49","-0.14","-0.19"
"23","A","Cre","no",NA,NA,NA,"2.31","-0.06","-0.25"
"24","A","Sas","no",NA,NA,NA,"2.15","0.02","-0.23"
"25","H","Juv","no",NA,NA,NA,"2.21","-0.01","-0.24"
"26","A","Lec","no",NA,NA,NA,"2.64","-0.21","-0.45"
"27","H","Gen","no",NA,NA,NA,"2.52","-0.15","-0.60"
"28","A","Mil","no",NA,NA,NA,"1.25","0.43","-0.18"
"29","H","Ata","no",NA,NA,NA,"2.32","-0.06","-0.24"
"30","A","Fir","no",NA,NA,NA,"2.77","-0.27","-0.51"
"31","H","Rom","no",NA,NA,NA,"1.29","0.41","-0.10"
"32","A","Com","no",NA,NA,NA,"1.74","0.21","0.11"
"33","H","Cag","no",NA,NA,NA,"2.57","-0.18","-0.07"
"34","A","Tor","no",NA,NA,NA,"2.11","0.03","-0.03"
"35","H","Par","no",NA,NA,NA,"2.77","-0.27","-0.30"
"36","A","Laz","no",NA,NA,NA,"1.74","0.20","-0.10"
"37","H","Ver","no",NA,NA,NA,"2.72","-0.24","-0.34"
"38","A","Bol","no",NA,NA,NA,"1.43","0.34","0.00"
