"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Par","yes",3,2,2,"2.56","-0.34","-0.34"
"2","A","Gen","yes",3,1,1,"2.21","-0.16","-0.50"
"3","H","Int","yes",3,1,4,"1.35","0.29","-0.21"
"4","A","Ver","yes",1,0,1,"2.05","-0.08","-0.29"
"5","H","Ata","yes",1,0,1,"2.54","-0.33","-0.62"
"6","H","Mil","yes",1,0,0,"1.46","0.23","-0.39"
"7","A","Com","yes",0,-2,0,"0.97","0.49","0.10"
"8","A","Laz","yes",0,-1,0,"1.20","0.37","0.47"
"9","H","Udi","yes",3,2,3,"2.20","-0.16","0.31"
"10","A","Cre","yes",3,1,2,"1.57","0.17","0.49"
"11","H","Tor","yes",1,0,0,"2.45","-0.29","0.20"
"12","A","Fir","yes",1,0,1,"2.57","-0.35","-0.15"
"13","H","Cag","yes",3,1,2,"2.55","-0.34","-0.49"
"14","A","Nap","yes",0,-1,1,"0.34","0.82","0.33"
"15","A","Bol","yes",3,1,1,"1.11","0.42","0.75"
"16","H","Rom","yes",3,1,2,"1.87","0.02","0.76"
"17","A","Pis","no",NA,NA,NA,"2.22","-0.16","0.60"
"18","H","Lec","no",NA,NA,NA,"2.64","-0.39","0.21"
"19","A","Sas","no",NA,NA,NA,"1.53","0.20","0.41"
"20","H","Cre","no",NA,NA,NA,"2.30","-0.21","0.20"
"21","A","Cag","no",NA,NA,NA,"1.74","0.08","0.29"
"22","H","Nap","no",NA,NA,NA,"2.08","-0.10","0.19"
"23","A","Par","no",NA,NA,NA,"2.08","-0.09","0.10"
"24","H","Laz","no",NA,NA,NA,"2.49","-0.31","-0.20"
"25","A","Int","no",NA,NA,NA,"0.60","0.69","0.48"
"26","H","Com","no",NA,NA,NA,"2.33","-0.22","0.26"
"27","A","Rom","no",NA,NA,NA,"0.93","0.51","0.77"
"28","H","Pis","no",NA,NA,NA,"2.67","-0.40","0.37"
"29","A","Udi","no",NA,NA,NA,"1.54","0.19","0.56"
"30","H","Sas","no",NA,NA,NA,"2.25","-0.18","0.38"
"31","H","Gen","no",NA,NA,NA,"2.40","-0.26","0.11"
"32","A","Ata","no",NA,NA,NA,"1.54","0.19","0.31"
"33","H","Bol","no",NA,NA,NA,"2.24","-0.18","0.13"
"34","A","Mil","no",NA,NA,NA,"0.76","0.60","0.73"
"35","H","Ver","no",NA,NA,NA,"2.72","-0.43","0.30"
"36","A","Lec","no",NA,NA,NA,"1.86","0.02","0.32"
"37","H","Fir","no",NA,NA,NA,"2.81","-0.47","-0.15"
"38","A","Tor","no",NA,NA,NA,"1.61","0.15","-0.00"
