"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Com","yes",0,-2,0,"0.87","0.30","0.30"
"2","H","Ver","yes",3,4,4,"2.08","-0.66","-0.35"
"3","A","Sas","yes",0,-1,0,"1.34","-0.07","-0.42"
"4","H","Rom","yes",0,-1,0,"0.90","0.29","-0.13"
"5","A","Gen","yes",3,3,3,"1.64","-0.30","-0.44"
"6","H","Tor","yes",1,0,3,"1.53","-0.22","-0.66"
"7","A","Ata","yes",1,0,0,"0.67","0.47","-0.19"
"8","H","Juv","yes",3,1,1,"1.15","0.08","-0.11"
"9","A","Pis","yes",1,0,0,"2.01","-0.60","-0.70"
"10","H","Cag","yes",3,2,2,"1.61","-0.28","-0.99"
"11","A","Int","yes",0,-2,0,"0.32","0.74","-0.24"
"12","H","Lec","yes",3,2,2,"1.89","-0.50","-0.74"
"13","A","Mil","yes",0,-1,0,"0.56","0.55","-0.19"
"14","H","Bol","yes",1,0,1,"1.34","-0.07","-0.26"
"15","A","Par","yes",3,1,1,"1.60","-0.27","-0.53"
"16","H","Cre","yes",1,0,0,"1.77","-0.41","-0.94"
"17","A","Udi","yes",1,0,1,"1.17","0.07","-0.87"
"18","H","Nap","yes",0,-2,0,"0.83","0.34","-0.53"
"19","H","Fir","yes",1,0,2,"1.79","-0.43","-0.96"
"20","A","Ver","yes",3,1,1,"2.03","-0.62","-1.57"
"21","H","Com","yes",0,-3,0,"0.94","0.25","-1.32"
"22","A","Lec","yes",1,0,0,"1.56","-0.24","-1.56"
"23","H","Gen","yes",3,1,3,"1.65","-0.31","-1.88"
"24","A","Juv","yes",1,0,2,"0.44","0.65","-1.23"
"25","H","Ata","yes",0,-2,0,"1.28","-0.02","-1.24"
"26","A","Cag","no",NA,NA,NA,"1.16","0.07","-1.17"
"27","A","Tor","no",NA,NA,NA,"1.40","-0.11","-1.28"
"28","H","Sas","no",NA,NA,NA,"1.29","-0.03","-1.31"
"29","H","Mil","no",NA,NA,NA,"0.46","0.64","-0.67"
"30","A","Bol","no",NA,NA,NA,"1.34","-0.07","-0.74"
"31","H","Par","no",NA,NA,NA,"1.39","-0.11","-0.84"
"32","A","Fir","no",NA,NA,NA,"1.71","-0.36","-1.20"
"33","A","Nap","no",NA,NA,NA,"0.33","0.74","-0.47"
"34","H","Udi","no",NA,NA,NA,"1.40","-0.11","-0.58"
"35","A","Cre","no",NA,NA,NA,"1.50","-0.20","-0.77"
"36","H","Int","no",NA,NA,NA,"0.28","0.78","0.00"
"37","A","Rom","no",NA,NA,NA,"0.48","0.62","0.62"
"38","H","Pis","no",NA,NA,NA,"2.04","-0.62","-0.00"
