"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Gen","yes",1,0,0,"1.04","-2.87","-2.87"
"2","H","Mil","yes",0,-2,0,"0.02","0.92","-1.95"
"3","A","Ata","yes",0,-3,1,"0.20","0.25","-1.71"
"4","H","Cag","yes",0,-1,1,"0.19","0.28","-1.42"
"5","H","Bol","yes",1,0,2,"0.54","-1.03","-2.45"
"6","A","Par","no",NA,NA,NA,"0.12","0.56","-1.89"
"7","H","Sas","no",NA,NA,NA,"0.13","0.53","-1.36"
"8","A","Udi","no",NA,NA,NA,"0.21","0.21","-1.14"
"9","H","Nap","no",NA,NA,NA,"0.03","0.90","-0.24"
"10","A","Fir","no",NA,NA,NA,"0.77","-1.86","-2.11"
"11","H","Ver","no",NA,NA,NA,"0.54","-1.02","-3.13"
"12","A","Laz","no",NA,NA,NA,"0.19","0.30","-2.83"
"13","H","Tor","no",NA,NA,NA,"0.24","0.11","-2.72"
"14","A","Cre","no",NA,NA,NA,"0.07","0.73","-1.99"
"15","H","Pis","no",NA,NA,NA,"0.63","-1.33","-3.32"
"16","A","Int","no",NA,NA,NA,"0.06","0.79","-2.52"
"17","H","Com","no",NA,NA,NA,"0.21","0.22","-2.30"
"18","A","Juv","no",NA,NA,NA,"0.05","0.82","-1.49"
"19","H","Rom","no",NA,NA,NA,"0.05","0.82","-0.67"
"20","H","Par","no",NA,NA,NA,"0.29","-0.06","-0.73"
"21","A","Mil","no",NA,NA,NA,"0.03","0.90","0.17"
"22","H","Laz","no",NA,NA,NA,"0.32","-0.18","-0.01"
"23","A","Tor","no",NA,NA,NA,"0.45","-0.68","-0.69"
"24","H","Udi","no",NA,NA,NA,"0.08","0.71","0.02"
"25","A","Cag","no",NA,NA,NA,"0.20","0.24","0.26"
"26","H","Int","no",NA,NA,NA,"0.08","0.72","0.98"
"27","A","Com","no",NA,NA,NA,"0.17","0.35","1.33"
"28","H","Cre","no",NA,NA,NA,"0.08","0.70","2.03"
"29","A","Nap","no",NA,NA,NA,"0.02","0.94","2.96"
"30","A","Rom","no",NA,NA,NA,"0.09","0.65","3.61"
"31","H","Ata","no",NA,NA,NA,"0.13","0.52","4.13"
"32","A","Bol","no",NA,NA,NA,"0.09","0.65","4.79"
"33","H","Fir","no",NA,NA,NA,"0.70","-1.62","3.17"
"34","A","Ver","no",NA,NA,NA,"0.36","-0.35","2.82"
"35","A","Pis","no",NA,NA,NA,"0.69","-1.58","1.24"
"36","H","Juv","no",NA,NA,NA,"0.13","0.52","1.76"
"37","A","Sas","no",NA,NA,NA,"0.05","0.83","2.59"
"38","H","Gen","no",NA,NA,NA,"0.96","-2.59","0.00"
