"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Juv","yes",0,-2,0,"0.42","0.60","0.60"
"2","H","Ata","yes",1,0,1,"1.05","0.02","0.62"
"3","A","Cag","yes",0,-2,0,"1.26","-0.17","0.45"
"4","A","Cre","yes",1,0,0,"1.38","-0.29","0.17"
"5","H","Tor","yes",3,1,2,"1.02","0.05","0.22"
"6","H","Lec","yes",0,-1,0,"1.42","-0.33","-0.11"
"7","A","Gen","yes",1,0,0,"1.76","-0.64","-0.75"
"8","H","Com","yes",1,0,0,"0.72","0.33","-0.42"
"9","A","Rom","yes",0,-1,1,"0.48","0.55","0.13"
"10","H","Bol","yes",0,-2,1,"0.81","0.25","0.38"
"11","H","Mil","yes",1,0,2,"0.31","0.71","1.09"
"12","A","Ver","yes",3,1,2,"1.93","-0.80","0.29"
"13","H","Udi","yes",0,-2,0,"0.95","0.12","0.40"
"14","A","Pis","yes",3,1,1,"1.93","-0.80","-0.40"
"15","H","Laz","yes",0,-1,0,"1.08","-0.01","-0.41"
"16","H","Fir","yes",3,1,1,"1.59","-0.48","-0.89"
"17","A","Sas","yes",1,0,1,"1.43","-0.33","-1.22"
"18","H","Int","yes",0,-2,0,"0.21","0.80","-0.42"
"19","A","Lec","yes",3,1,2,"1.69","-0.58","-1.00"
"20","A","Nap","yes",1,0,0,"0.37","0.65","-0.35"
"21","H","Gen","yes",1,0,0,"1.19","-0.11","-0.46"
"22","A","Ata","no",NA,NA,NA,"0.81","0.24","-0.22"
"23","H","Juv","no",NA,NA,NA,"0.81","0.24","0.03"
"24","A","Bol","no",NA,NA,NA,"1.17","-0.09","-0.07"
"25","H","Ver","no",NA,NA,NA,"1.65","-0.54","-0.61"
"26","A","Mil","no",NA,NA,NA,"0.53","0.50","-0.11"
"27","H","Cag","no",NA,NA,NA,"1.34","-0.25","-0.35"
"28","A","Fir","no",NA,NA,NA,"1.57","-0.46","-0.82"
"29","A","Tor","no",NA,NA,NA,"1.49","-0.39","-1.20"
"30","H","Cre","no",NA,NA,NA,"1.18","-0.10","-1.30"
"31","A","Laz","no",NA,NA,NA,"1.05","0.02","-1.28"
"32","H","Nap","no",NA,NA,NA,"0.54","0.49","-0.79"
"33","A","Udi","no",NA,NA,NA,"1.32","-0.23","-1.02"
"34","H","Pis","no",NA,NA,NA,"1.66","-0.55","-1.57"
"35","A","Int","no",NA,NA,NA,"0.37","0.66","-0.91"
"36","H","Rom","no",NA,NA,NA,"0.51","0.53","-0.38"
"37","A","Com","no",NA,NA,NA,"0.73","0.32","-0.07"
"38","H","Sas","no",NA,NA,NA,"1.00","0.07","0.00"
