"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Ata","yes",1,0,1,"1.08","-0.17","-0.17"
"2","H","Rom","yes",0,-1,0,"0.17","0.81","0.64"
"3","H","Udi","yes",0,-1,0,"0.63","0.32","0.96"
"4","A","Nap","yes",0,-1,2,"0.19","0.79","1.75"
"5","H","Fir","yes",1,0,0,"1.62","-0.76","0.99"
"6","A","Bol","yes",0,-4,0,"0.23","0.75","1.74"
"7","H","Ver","yes",1,0,0,"1.91","-1.08","0.67"
"8","A","Mil","yes",1,0,2,"0.27","0.71","1.38"
"9","H","Laz","yes",1,0,0,"1.12","-0.22","1.16"
"10","A","Tor","yes",1,0,2,"0.96","-0.05","1.11"
"11","H","Cre","yes",3,1,1,"0.84","0.09","1.20"
"12","A","Sas","yes",1,0,2,"0.98","-0.06","1.14"
"13","H","Int","no",NA,NA,NA,"0.29","0.68","1.82"
"14","H","Par","no",NA,NA,NA,"1.39","-0.51","1.31"
"15","A","Lec","no",NA,NA,NA,"1.77","-0.92","0.39"
"16","A","Cag","no",NA,NA,NA,"1.52","-0.65","-0.26"
"17","H","Juv","no",NA,NA,NA,"0.88","0.05","-0.21"
"18","A","Gen","no",NA,NA,NA,"1.71","-0.86","-1.07"
"19","H","Com","no",NA,NA,NA,"0.54","0.42","-0.66"
"20","A","Udi","no",NA,NA,NA,"1.00","-0.08","-0.74"
"21","H","Ata","no",NA,NA,NA,"0.92","0.00","-0.74"
"22","A","Int","no",NA,NA,NA,"0.35","0.62","-0.12"
"23","H","Sas","no",NA,NA,NA,"0.87","0.05","-0.07"
"24","A","Ver","no",NA,NA,NA,"2.00","-1.17","-1.24"
"25","H","Mil","no",NA,NA,NA,"0.30","0.67","-0.57"
"26","A","Fir","no",NA,NA,NA,"1.87","-1.03","-1.60"
"27","H","Bol","no",NA,NA,NA,"0.57","0.38","-1.22"
"28","A","Juv","no",NA,NA,NA,"0.38","0.59","-0.63"
"29","H","Cag","no",NA,NA,NA,"1.23","-0.34","-0.97"
"30","A","Com","no",NA,NA,NA,"0.57","0.38","-0.58"
"31","H","Tor","no",NA,NA,NA,"0.63","0.32","-0.26"
"32","A","Rom","no",NA,NA,NA,"0.36","0.61","0.35"
"33","H","Gen","no",NA,NA,NA,"1.16","-0.26","0.09"
"34","A","Par","no",NA,NA,NA,"1.29","-0.40","-0.32"
"35","H","Lec","no",NA,NA,NA,"1.29","-0.41","-0.72"
"36","A","Cre","no",NA,NA,NA,"1.13","-0.22","-0.94"
"37","H","Nap","no",NA,NA,NA,"0.48","0.48","-0.46"
"38","A","Laz","no",NA,NA,NA,"0.49","0.46","-0.00"
