"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Nap","yes",0,-2,0,"0.82","0.36","0.36"
"2","A","Cre","yes",0,-1,2,"1.51","-0.18","0.18"
"3","H","Laz","yes",3,1,1,"1.40","-0.09","0.09"
"4","A","Int","yes",0,-1,1,"0.55","0.57","0.66"
"5","H","Udi","yes",3,2,3,"1.22","0.05","0.71"
"6","A","Ver","yes",3,1,1,"1.94","-0.51","0.20"
"7","A","Lec","yes",1,0,0,"1.83","-0.43","-0.23"
"8","H","Rom","yes",0,-1,0,"0.63","0.51","0.28"
"9","A","Cag","yes",3,1,2,"1.73","-0.35","-0.07"
"10","H","Gen","yes",0,-1,1,"1.28","0.00","-0.07"
"11","A","Ata","yes",3,3,3,"1.40","-0.09","-0.16"
"12","H","Pis","yes",1,0,2,"1.83","-0.43","-0.59"
"13","A","Com","yes",0,-2,0,"0.86","0.33","-0.26"
"14","H","Fir","yes",3,2,3,"2.21","-0.72","-0.98"
"15","A","Mil","yes",1,0,2,"0.71","0.45","-0.54"
"16","H","Tor","yes",0,-1,0,"1.10","0.14","-0.40"
"17","A","Bol","no",NA,NA,NA,"0.99","0.23","-0.17"
"18","H","Par","no",NA,NA,NA,"1.50","-0.17","-0.35"
"19","H","Juv","no",NA,NA,NA,"0.83","0.35","0.00"
"20","A","Rom","no",NA,NA,NA,"0.86","0.33","0.33"
"21","A","Nap","no",NA,NA,NA,"0.29","0.77","1.10"
"22","H","Cre","no",NA,NA,NA,"1.06","0.17","1.28"
"23","A","Pis","no",NA,NA,NA,"2.22","-0.74","0.54"
"24","H","Int","no",NA,NA,NA,"0.35","0.73","1.27"
"25","A","Udi","no",NA,NA,NA,"1.54","-0.20","1.07"
"26","H","Ver","no",NA,NA,NA,"1.89","-0.48","0.59"
"27","H","Ata","no",NA,NA,NA,"1.31","-0.02","0.56"
"28","A","Laz","no",NA,NA,NA,"1.07","0.17","0.73"
"29","H","Bol","no",NA,NA,NA,"0.95","0.26","0.99"
"30","A","Juv","no",NA,NA,NA,"0.52","0.60","1.59"
"31","H","Cag","no",NA,NA,NA,"1.29","-0.01","1.58"
"32","A","Gen","no",NA,NA,NA,"2.22","-0.74","0.84"
"33","H","Com","no",NA,NA,NA,"0.92","0.28","1.13"
"34","A","Fir","no",NA,NA,NA,"2.26","-0.76","0.36"
"35","H","Mil","no",NA,NA,NA,"0.40","0.69","1.05"
"36","A","Tor","no",NA,NA,NA,"1.63","-0.27","0.78"
"37","H","Lec","no",NA,NA,NA,"1.67","-0.31","0.47"
"38","A","Par","no",NA,NA,NA,"1.89","-0.47","-0.00"
