"","HA","vs","played","sched","cumulative"
"1","H","Sit","yes","-0.18","-0.18"
"2","A","RKC","yes","-0.19","-0.37"
"3","H","Gro","yes","-0.09","-0.46"
"4","A","Vit","yes","0.15","-0.30"
"5","H","Spa","yes","-0.15","-0.45"
"6","A","ADO","yes","-0.12","-0.57"
"7","A","Fey","yes","0.32","-0.24"
"8","H","Her","yes","-0.12","-0.36"
"9","A","WII","yes","0.30","-0.07"
"10","H","Hee","yes","-0.12","-0.19"
"11","A","PSV","yes","0.27","0.08"
"12","H","Twe","yes","-0.17","-0.09"
"13","H","Emm","yes","-0.17","-0.26"
"14","A","Utr","yes","0.18","-0.08"
"15","H","VVV","yes","-0.20","-0.28"
"16","A","Zwo","yes","-0.04","-0.32"
"17","H","Ajx","yes","0.30","-0.02"
"18","A","Spa","yes","0.02","-0.00"
"19","H","WII","yes","0.04","0.04"
"20","A","Hee","yes","0.05","0.09"
"21","H","RKC","yes","-0.26","-0.17"
"22","H","Fey","no","0.06","-0.11"
"23","A","Twe","no","-0.02","-0.13"
"24","H","Zwo","no","-0.18","-0.31"
"25","A","Ajx","no","0.58","0.27"
"26","H","ADO","no","-0.22","0.05"
"27","A","VVV","no","-0.07","-0.02"
"28","A","Gro","no","0.12","0.10"
"29","H","Vit","no","-0.06","0.03"
"30","A","Her","no","0.06","0.09"
"31","H","PSV","no","0.02","0.11"
"32","A","Sit","no","-0.04","0.08"
"33","H","Utr","no","-0.05","0.03"
"34","A","Emm","no","-0.03","0.00"
