"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","NEC","yes",3,5,"2.15","-0.01","-0.01"
"2","A","Twe","yes",1,0,"1.91","0.11","0.10"
"3","H","Vit","yes",3,5,"1.57","0.27","0.37"
"4","A","Zwo","yes",3,2,"2.56","-0.19","0.17"
"5","H","Cam","yes",3,9,"1.96","0.09","0.26"
"6","A","Sit","yes",3,5,"2.21","-0.03","0.23"
"7","H","Gro","yes",3,3,"2.31","-0.08","0.15"
"8","H","Utr","yes",0,-1,"2.43","-0.13","0.01"
"9","A","Hee","yes",3,2,"2.21","-0.03","-0.02"
"10","H","PSV","yes",3,5,"1.92","0.10","0.08"
"11","A","Her","yes",1,0,"1.95","0.09","0.17"
"12","H","GoA","yes",1,0,"2.26","-0.05","0.11"
"13","A","RKC","yes",3,5,"2.10","0.02","0.13"
"14","A","Spa","yes",3,1,"2.45","-0.14","-0.01"
"15","H","WII","yes",3,5,"2.40","-0.12","-0.13"
"16","H","AZA","no",NA,NA,"2.49","-0.16","-0.29"
"17","A","Fey","no",NA,NA,"1.13","0.47","0.18"
"18","H","Sit","no",NA,NA,"2.66","-0.24","-0.06"
"19","A","Utr","no",NA,NA,"1.38","0.36","0.29"
"20","A","PSV","no",NA,NA,"0.98","0.54","0.83"
"21","H","Her","no",NA,NA,"2.76","-0.29","0.54"
"22","H","Twe","no",NA,NA,"2.18","-0.02","0.52"
"23","A","WII","no",NA,NA,"2.24","-0.04","0.48"
"24","A","GoA","no",NA,NA,"2.20","-0.03","0.45"
"25","H","RKC","no",NA,NA,"2.56","-0.20","0.25"
"26","A","Cam","no",NA,NA,"2.03","0.05","0.30"
"27","H","Fey","no",NA,NA,"1.90","0.11","0.42"
"28","A","Gro","no",NA,NA,"2.30","-0.07","0.34"
"29","H","Spa","no",NA,NA,"2.59","-0.21","0.14"
"30","A","NEC","no",NA,NA,"2.23","-0.04","0.09"
"31","H","Zwo","no",NA,NA,"2.74","-0.28","-0.19"
"32","A","AZA","no",NA,NA,"1.59","0.26","0.07"
"33","H","Hee","no",NA,NA,"2.15","-0.00","0.07"
"34","A","Vit","no",NA,NA,"2.28","-0.07","0.00"
