"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Gro","yes",0,-1,"1.42","0.01","0.01"
"2","A","PSV","yes",0,-3,"0.65","0.54","0.56"
"3","H","Twe","yes",3,2,"1.02","0.29","0.85"
"4","H","GoA","yes",3,3,"1.34","0.06","0.91"
"5","A","Ajx","yes",0,-9,"0.90","0.37","1.28"
"6","H","Her","yes",3,1,"2.30","-0.61","0.68"
"7","A","Spa","yes",3,4,"2.13","-0.49","0.19"
"8","H","AZA","yes",0,-2,"1.25","0.13","0.32"
"9","A","Sit","yes",0,-1,"1.69","-0.18","0.14"
"10","H","Fey","yes",0,-1,"0.81","0.44","0.57"
"11","A","RKC","yes",3,1,"1.59","-0.11","0.46"
"12","A","Zwo","yes",3,1,"2.16","-0.51","-0.04"
"13","H","Utr","yes",3,1,"1.42","0.01","-0.04"
"14","A","NEC","yes",3,1,"2.04","-0.42","-0.46"
"15","H","Vit","yes",0,-5,"0.64","0.55","0.09"
"16","A","WII","yes",3,2,"1.95","-0.36","-0.27"
"17","H","Hee","yes",0,-1,"1.24","0.13","-0.13"
"18","A","Her","yes",1,0,"1.36","0.05","-0.08"
"19","H","Spa","yes",1,0,"1.84","-0.28","-0.37"
"20","A","AZA","yes",1,0,"0.96","0.33","-0.03"
"21","A","Utr","yes",0,-1,"0.98","0.32","0.29"
"22","H","Zwo","no",NA,NA,"2.08","-0.45","-0.17"
"23","A","Fey","no",NA,NA,"0.94","0.34","0.18"
"24","H","Sit","no",NA,NA,"2.10","-0.47","-0.29"
"25","A","Twe","no",NA,NA,"1.09","0.24","-0.05"
"26","H","Ajx","no",NA,NA,"0.33","0.77","0.72"
"27","A","GoA","no",NA,NA,"1.95","-0.36","0.36"
"28","H","NEC","no",NA,NA,"0.92","0.36","0.72"
"29","A","Vit","no",NA,NA,"1.80","-0.26","0.46"
"30","H","PSV","no",NA,NA,"0.68","0.53","0.99"
"31","A","Hee","no",NA,NA,"1.93","-0.35","0.64"
"32","H","RKC","no",NA,NA,"1.69","-0.18","0.46"
"33","H","WII","no",NA,NA,"1.68","-0.17","0.29"
"34","A","Gro","no",NA,NA,"1.85","-0.29","0.00"
