"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","WII","yes",3,4,"2.08","-0.07","-0.07"
"2","H","GoA","yes",3,2,"2.25","-0.16","-0.23"
"3","A","Utr","yes",0,-2,"1.53","0.21","-0.02"
"4","A","PSV","yes",3,4,"0.96","0.50","0.48"
"5","H","Hee","yes",3,2,"2.18","-0.13","0.36"
"6","H","NEC","yes",3,2,"1.97","-0.02","0.34"
"7","A","Vit","yes",0,-1,"2.00","-0.03","0.30"
"8","H","RKC","yes",1,0,"2.39","-0.23","0.07"
"9","A","Cam","yes",3,1,"2.02","-0.04","0.03"
"10","A","Spa","yes",3,1,"2.16","-0.11","-0.09"
"11","H","AZA","yes",3,1,"1.84","0.05","-0.03"
"12","H","Zwo","yes",3,4,"2.45","-0.27","-0.30"
"13","A","Twe","yes",1,0,"1.21","0.37","0.07"
"14","H","Her","yes",3,1,"2.66","-0.37","-0.30"
"15","H","Sit","yes",3,5,"2.55","-0.32","-0.61"
"16","A","Gro","yes",1,0,"1.90","0.02","-0.59"
"17","H","Ajx","yes",0,-2,"1.00","0.48","-0.11"
"18","A","Hee","yes",3,3,"2.19","-0.13","-0.24"
"19","H","Vit","yes",0,-1,"1.71","0.11","-0.13"
"20","A","NEC","yes",3,3,"2.32","-0.20","-0.33"
"21","H","Spa","yes",3,4,"2.52","-0.30","-0.63"
"22","A","RKC","yes",3,2,"2.05","-0.06","-0.69"
"23","H","Cam","yes",3,2,"2.13","-0.10","-0.79"
"24","A","AZA","yes",0,-1,"1.10","0.43","-0.35"
"25","H","Gro","yes",1,0,"2.11","-0.09","-0.44"
"26","A","Zwo","yes",3,1,"2.40","-0.24","-0.69"
"27","A","Ajx","yes",0,-1,"0.89","0.54","-0.14"
"28","H","WII","yes",3,2,"2.56","-0.32","-0.46"
"29","A","Her","no",NA,NA,"1.52","0.22","-0.25"
"30","H","Utr","no",NA,NA,"2.21","-0.14","-0.39"
"31","A","Sit","no",NA,NA,"2.11","-0.09","-0.48"
"32","H","PSV","no",NA,NA,"1.24","0.36","-0.12"
"33","A","GoA","no",NA,NA,"1.93","0.00","-0.12"
"34","H","Twe","no",NA,NA,"1.71","0.12","-0.00"
