"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Hee","yes",0,-1,"1.02","0.22","0.22"
"2","A","Fey","yes",0,-2,"0.57","0.56","0.78"
"3","H","Spa","yes",3,2,"1.74","-0.33","0.46"
"4","A","Cam","yes",0,-3,"1.35","-0.03","0.43"
"5","H","Zwo","yes",3,1,"2.16","-0.65","-0.22"
"6","H","PSV","yes",0,-1,"0.82","0.38","0.16"
"7","A","AZA","yes",0,-5,"0.92","0.30","0.46"
"8","A","RKC","yes",1,0,"1.43","-0.09","0.37"
"9","H","Her","yes",3,2,"2.20","-0.68","-0.31"
"10","A","Vit","yes",3,1,"1.70","-0.30","-0.61"
"11","H","Sit","yes",3,1,"2.15","-0.64","-1.25"
"12","A","Ajx","yes",1,0,"0.59","0.55","-0.71"
"13","H","Gro","yes",0,-1,"1.26","0.04","-0.67"
"14","A","WII","yes",3,1,"1.63","-0.24","-0.91"
"15","H","Twe","yes",0,-1,"1.09","0.17","-0.74"
"16","A","Utr","yes",1,0,"0.73","0.44","-0.30"
"17","H","NEC","no",NA,NA,"1.05","0.20","-0.10"
"18","A","PSV","no",NA,NA,"0.47","0.64","0.54"
"19","H","RKC","no",NA,NA,"1.68","-0.28","0.26"
"20","A","Her","no",NA,NA,"1.27","0.03","0.30"
"21","A","Gro","no",NA,NA,"1.69","-0.29","0.00"
"22","H","AZA","no",NA,NA,"1.55","-0.19","-0.18"
"23","A","Twe","no",NA,NA,"1.21","0.08","-0.10"
"24","H","Ajx","no",NA,NA,"0.61","0.53","0.43"
"25","H","Utr","no",NA,NA,"1.45","-0.10","0.32"
"26","A","Spa","no",NA,NA,"1.95","-0.49","-0.16"
"27","H","Cam","no",NA,NA,"0.83","0.37","0.20"
"28","A","Zwo","no",NA,NA,"1.95","-0.48","-0.28"
"29","H","WII","no",NA,NA,"1.39","-0.06","-0.34"
"30","A","Sit","no",NA,NA,"1.57","-0.20","-0.54"
"31","H","Vit","no",NA,NA,"0.55","0.58","0.04"
"32","A","NEC","no",NA,NA,"1.60","-0.22","-0.18"
"33","H","Fey","no",NA,NA,"0.79","0.40","0.21"
"34","A","Hee","no",NA,NA,"1.59","-0.21","0.00"
