"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Cam","yes",3,1,"1.33","-0.12","-0.12"
"2","H","Utr","yes",1,0,"1.27","-0.07","-0.19"
"3","A","PSV","yes",0,-3,"0.43","0.64","0.44"
"4","H","Hee","yes",1,0,"1.10","0.07","0.52"
"5","A","WII","yes",0,-1,"1.58","-0.34","0.18"
"6","H","Vit","yes",0,-1,"0.54","0.54","0.72"
"7","A","Ajx","yes",0,-3,"0.61","0.49","1.21"
"8","H","Twe","yes",1,0,"0.88","0.25","1.46"
"9","A","Spa","yes",1,0,"1.79","-0.51","0.95"
"10","H","AZA","yes",3,2,"1.10","0.07","1.02"
"11","A","NEC","yes",0,-3,"1.68","-0.42","0.60"
"12","H","RKC","yes",1,0,"1.54","-0.30","0.30"
"13","A","GoA","yes",3,1,"1.58","-0.34","-0.04"
"14","A","Sit","yes",3,3,"1.31","-0.10","-0.14"
"15","H","Zwo","yes",1,0,"1.95","-0.65","-0.79"
"16","H","Fey","yes",1,0,"0.69","0.42","-0.37"
"17","A","Her","yes",0,-2,"0.99","0.16","-0.21"
"18","A","AZA","yes",0,-1,"0.65","0.45","0.24"
"19","H","PSV","yes",0,-1,"0.58","0.51","0.76"
"20","A","Vit","yes",3,2,"1.42","-0.20","0.56"
"21","H","GoA","no",NA,NA,"1.19","-0.01","0.55"
"22","H","Sit","no",NA,NA,"1.98","-0.67","-0.12"
"23","A","Zwo","no",NA,NA,"1.83","-0.55","-0.66"
"24","H","WII","no",NA,NA,"1.53","-0.29","-0.95"
"25","A","Fey","no",NA,NA,"0.64","0.46","-0.49"
"26","H","NEC","no",NA,NA,"0.80","0.33","-0.16"
"27","A","Utr","no",NA,NA,"0.67","0.44","0.27"
"28","H","Ajx","no",NA,NA,"0.27","0.77","1.04"
"29","A","Hee","no",NA,NA,"1.57","-0.32","0.72"
"30","H","Her","no",NA,NA,"2.20","-0.85","-0.13"
"31","A","RKC","no",NA,NA,"1.21","-0.02","-0.15"
"32","H","Spa","no",NA,NA,"1.70","-0.43","-0.58"
"33","A","Twe","no",NA,NA,"0.76","0.36","-0.22"
"34","H","Cam","no",NA,NA,"0.92","0.22","-0.00"
