"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","GoA","yes",3,1,"1.55","-0.38","-0.38"
"2","H","RKC","yes",3,1,"1.40","-0.25","-0.63"
"3","H","AZA","yes",0,-2,"0.67","0.40","-0.22"
"4","A","Gro","yes",1,0,"1.47","-0.31","-0.53"
"5","H","Sit","yes",3,1,"1.58","-0.41","-0.94"
"6","A","Fey","yes",0,-2,"0.71","0.37","-0.57"
"7","H","Twe","yes",0,-1,"0.67","0.40","-0.17"
"8","A","Zwo","yes",3,1,"1.92","-0.71","-0.88"
"9","H","Ajx","yes",0,-2,"0.29","0.74","-0.14"
"10","A","Utr","yes",0,-1,"0.81","0.28","0.14"
"11","H","Vit","yes",0,-1,"0.52","0.54","0.68"
"12","A","NEC","yes",1,0,"1.82","-0.63","0.05"
"13","H","WII","yes",3,1,"1.49","-0.33","-0.28"
"14","H","PSV","yes",1,0,"0.36","0.68","0.40"
"15","A","Her","yes",3,1,"0.96","0.14","0.54"
"16","H","Spa","yes",1,0,"1.50","-0.34","0.20"
"17","A","Cam","yes",3,1,"1.49","-0.33","-0.13"
"18","H","Fey","yes",0,-3,"0.54","0.52","0.38"
"19","A","Twe","yes",0,-2,"0.82","0.27","0.65"
"20","H","Zwo","yes",0,-1,"1.52","-0.36","0.29"
"21","A","Sit","yes",0,-2,"1.41","-0.26","0.04"
"22","H","NEC","yes",0,-1,"0.70","0.37","0.41"
"23","A","PSV","yes",0,-2,"0.58","0.48","0.90"
"24","H","Utr","yes",0,-1,"1.02","0.09","0.99"
"25","A","WII","yes",1,0,"1.59","-0.42","0.57"
"26","A","RKC","no",NA,NA,"1.47","-0.31","0.26"
"27","H","Her","no",NA,NA,"2.04","-0.82","-0.56"
"28","A","Spa","no",NA,NA,"1.81","-0.61","-1.17"
"29","H","Gro","no",NA,NA,"1.02","0.09","-1.09"
"30","A","AZA","no",NA,NA,"0.61","0.46","-0.63"
"31","H","Cam","no",NA,NA,"0.77","0.31","-0.31"
"32","A","Vit","no",NA,NA,"1.38","-0.23","-0.55"
"33","A","Ajx","no",NA,NA,"0.59","0.47","-0.07"
"34","H","GoA","no",NA,NA,"1.04","0.07","0.00"
