"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Her","yes",3,2,"1.88","0.13","0.13"
"2","H","Cam","yes",3,3,"2.17","-0.00","0.13"
"3","H","Gro","yes",3,3,"2.34","-0.08","0.06"
"4","A","AZA","yes",3,3,"1.43","0.34","0.40"
"5","H","Fey","yes",0,-4,"1.81","0.17","0.56"
"6","A","GoA","yes",3,1,"2.35","-0.08","0.48"
"7","A","WII","yes",0,-1,"2.38","-0.10","0.38"
"8","H","Spa","yes",3,1,"2.59","-0.19","0.19"
"9","H","Zwo","yes",3,2,"2.53","-0.16","0.03"
"10","A","Ajx","yes",0,-5,"1.36","0.37","0.40"
"11","H","Twe","yes",3,3,"2.00","0.08","0.48"
"12","A","Sit","yes",3,3,"2.36","-0.09","0.39"
"13","H","Vit","yes",3,2,"1.77","0.19","0.58"
"14","A","Hee","yes",1,0,"2.49","-0.15","0.43"
"15","H","Utr","yes",3,3,"2.33","-0.07","0.36"
"16","A","NEC","yes",3,1,"2.54","-0.17","0.19"
"17","A","RKC","yes",3,3,"2.31","-0.06","0.13"
"18","H","GoA","yes",3,2,"2.33","-0.08","0.05"
"19","A","Gro","yes",3,1,"2.29","-0.06","-0.01"
"20","H","Ajx","yes",0,-1,"1.21","0.44","0.44"
"21","H","AZA","yes",0,-1,"1.95","0.10","0.54"
"22","A","Vit","yes",3,5,"2.24","-0.03","0.51"
"23","H","Hee","yes",3,2,"2.28","-0.05","0.46"
"24","A","Spa","yes",3,1,"2.51","-0.16","0.30"
"25","H","Her","yes",3,2,"2.77","-0.28","0.03"
"26","A","Utr","no",NA,NA,"1.71","0.21","0.24"
"27","H","Sit","no",NA,NA,"2.62","-0.21","0.03"
"28","A","Twe","no",NA,NA,"1.62","0.25","0.29"
"29","H","RKC","no",NA,NA,"2.56","-0.18","0.11"
"30","A","Cam","no",NA,NA,"2.33","-0.07","0.03"
"31","H","WII","no",NA,NA,"2.58","-0.19","-0.16"
"32","A","Fey","no",NA,NA,"1.57","0.28","0.12"
"33","H","NEC","no",NA,NA,"2.04","0.06","0.18"
"34","A","Zwo","no",NA,NA,"2.57","-0.18","-0.00"
