"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Utr","yes",0,-4,"0.33","0.63","0.63"
"2","H","Her","yes",1,0,"1.83","-1.04","-0.41"
"3","A","GoA","yes",0,-2,"0.96","-0.07","-0.48"
"4","H","Sit","yes",3,2,"1.70","-0.89","-1.38"
"5","H","NEC","yes",1,0,"0.60","0.33","-1.05"
"6","A","Zwo","yes",1,0,"1.47","-0.64","-1.69"
"7","H","Cam","yes",0,-4,"0.66","0.26","-1.43"
"8","A","PSV","yes",0,-1,"0.30","0.66","-0.77"
"9","H","Gro","yes",1,0,"0.89","0.01","-0.76"
"10","A","RKC","yes",0,-1,"1.13","-0.26","-1.02"
"11","H","Fey","yes",0,-1,"0.50","0.44","-0.58"
"12","A","WII","yes",3,3,"1.03","-0.15","-0.72"
"13","H","Twe","yes",0,-1,"0.84","0.06","-0.66"
"14","H","Ajx","yes",0,-1,"0.39","0.57","-0.10"
"15","A","AZA","no",NA,NA,"0.63","0.29","0.20"
"16","A","Hee","no",NA,NA,"1.01","-0.13","0.07"
"17","H","Vit","no",NA,NA,"0.42","0.53","0.60"
"18","H","RKC","no",NA,NA,"1.25","-0.39","0.20"
"19","A","Cam","no",NA,NA,"0.80","0.10","0.31"
"20","H","Utr","no",NA,NA,"1.02","-0.14","0.16"
"21","A","Fey","no",NA,NA,"0.36","0.60","0.77"
"22","H","WII","no",NA,NA,"0.95","-0.06","0.71"
"23","A","Sit","no",NA,NA,"1.06","-0.19","0.52"
"24","H","PSV","no",NA,NA,"0.53","0.41","0.93"
"25","A","Vit","no",NA,NA,"1.13","-0.26","0.67"
"26","H","GoA","no",NA,NA,"0.87","0.03","0.69"
"27","A","NEC","no",NA,NA,"1.13","-0.26","0.43"
"28","H","Hee","no",NA,NA,"0.82","0.08","0.51"
"29","A","Ajx","no",NA,NA,"0.37","0.58","1.10"
"30","A","Twe","no",NA,NA,"0.72","0.19","1.29"
"31","H","AZA","no",NA,NA,"1.11","-0.24","1.05"
"32","A","Gro","no",NA,NA,"1.09","-0.21","0.84"
"33","H","Zwo","no",NA,NA,"1.89","-1.11","-0.27"
"34","A","Her","no",NA,NA,"0.65","0.27","0.00"
