"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Sit","yes",0,-1,"1.53","-0.03","-0.03"
"2","H","Ajx","yes",1,0,"0.92","0.38","0.35"
"3","A","Cam","yes",0,-2,"1.32","0.11","0.46"
"4","H","Utr","yes",3,1,"1.87","-0.26","0.19"
"5","A","Vit","yes",3,3,"1.67","-0.13","0.06"
"6","H","AZA","yes",3,2,"1.96","-0.32","-0.26"
"7","A","Hee","yes",3,1,"1.48","0.00","-0.26"
"8","A","Gro","yes",1,0,"1.68","-0.13","-0.39"
"9","H","WII","yes",1,0,"1.80","-0.21","-0.60"
"10","H","NEC","yes",0,-1,"1.27","0.14","-0.46"
"11","A","PSV","yes",0,-3,"0.46","0.69","0.23"
"12","H","Her","yes",3,1,"2.46","-0.66","-0.43"
"13","A","Spa","yes",3,1,"1.91","-0.29","-0.72"
"14","H","Fey","yes",1,0,"1.13","0.23","-0.49"
"15","A","GoA","no",NA,NA,"1.41","0.05","-0.44"
"16","H","RKC","no",NA,NA,"2.04","-0.38","-0.82"
"17","A","Zwo","no",NA,NA,"1.92","-0.30","-1.11"
"18","A","Utr","no",NA,NA,"0.58","0.61","-0.50"
"19","H","Hee","no",NA,NA,"1.60","-0.08","-0.59"
"20","A","WII","no",NA,NA,"1.48","-0.00","-0.59"
"21","H","Vit","no",NA,NA,"0.86","0.42","-0.17"
"22","A","Ajx","no",NA,NA,"0.56","0.62","0.45"
"23","H","GoA","no",NA,NA,"1.65","-0.11","0.33"
"24","A","RKC","no",NA,NA,"1.59","-0.08","0.26"
"25","H","Cam","no",NA,NA,"1.36","0.08","0.34"
"26","A","AZA","no",NA,NA,"0.94","0.37","0.71"
"27","H","Zwo","no",NA,NA,"2.43","-0.64","0.07"
"28","H","PSV","no",NA,NA,"1.15","0.22","0.29"
"29","A","NEC","no",NA,NA,"1.59","-0.07","0.22"
"30","H","Spa","no",NA,NA,"2.05","-0.38","-0.16"
"31","A","Her","no",NA,NA,"1.05","0.29","0.13"
"32","H","Sit","no",NA,NA,"2.40","-0.62","-0.49"
"33","H","Gro","no",NA,NA,"1.66","-0.12","-0.61"
"34","A","Fey","no",NA,NA,"0.57","0.61","-0.00"
