"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Zwo","yes",3,1,"2.41","-0.51","-0.51"
"2","H","WII","yes",0,-3,"1.99","-0.24","-0.75"
"3","A","Ajx","yes",0,-5,"1.02","0.36","-0.39"
"4","A","RKC","yes",3,1,"2.06","-0.29","-0.68"
"5","H","Twe","yes",0,-3,"0.91","0.43","-0.24"
"6","A","Gro","yes",3,1,"1.90","-0.19","-0.43"
"7","H","Sit","yes",1,0,"1.99","-0.25","-0.68"
"8","H","Fey","yes",3,1,"0.82","0.48","-0.20"
"9","A","NEC","yes",3,1,"2.36","-0.48","-0.68"
"10","H","GoA","yes",0,-1,"1.59","0.00","-0.68"
"11","A","Hee","yes",3,1,"2.23","-0.39","-1.07"
"12","H","Utr","yes",3,1,"1.44","0.10","-0.97"
"13","A","PSV","yes",0,-2,"1.03","0.35","-0.61"
"14","H","AZA","yes",1,0,"0.97","0.39","-0.22"
"15","A","Cam","yes",3,5,"2.07","-0.29","-0.52"
"16","H","Her","yes",3,1,"2.42","-0.52","-1.03"
"17","A","Spa","yes",1,0,"2.21","-0.38","-1.41"
"18","H","Zwo","yes",3,1,"1.83","-0.14","-1.56"
"19","A","Fey","yes",3,1,"1.24","0.23","-1.33"
"20","H","Gro","yes",0,-2,"1.47","0.08","-1.25"
"21","A","Twe","yes",0,-3,"1.24","0.22","-1.03"
"22","H","PSV","yes",0,-5,"0.53","0.67","-0.36"
"23","A","Utr","yes",1,0,"1.44","0.10","-0.26"
"24","H","NEC","yes",3,3,"1.17","0.27","0.00"
"25","A","Her","yes",1,0,"1.56","0.02","0.03"
"26","H","RKC","no",NA,NA,"1.85","-0.16","-0.13"
"27","A","AZA","no",NA,NA,"1.25","0.22","0.09"
"28","H","Cam","no",NA,NA,"1.35","0.15","0.24"
"29","H","Spa","no",NA,-1,"1.97","-0.23","0.01"
"30","A","WII","no",NA,NA,"2.13","-0.34","-0.33"
"31","A","GoA","no",NA,NA,"1.98","-0.24","-0.57"
"32","H","Hee","no",NA,NA,"1.41","0.12","-0.45"
"33","A","Sit","no",NA,NA,"2.02","-0.27","-0.72"
"34","H","Ajx","no",NA,NA,"0.45","0.72","0.00"
