"team","teamId","playedGames","goalDifference","points","rank"
"Feyenoord Rotterdam",675,31,47,76,1
"PSV",674,31,47,68,2
"AFC Ajax",678,31,47,63,3
"AZ",682,31,27,61,4
"FC Twente '65",666,32,32,58,5
"Sparta Rotterdam",6806,32,15,53,6
"FC Utrecht",676,32,6,51,7
"SC Heerenveen",673,32,-8,42,8
"RKC Waalwijk",683,32,-5,41,9
"NEC",1915,32,0,38,10
"Go Ahead Eagles",718,31,-8,37,11
"Fortuna Sittard",1920,31,-19,35,12
"FC Volendam",1919,32,-27,33,13
"SBV Vitesse",679,31,-14,31,14
"SBV Excelsior",670,32,-41,29,15
"FC Emmen",1914,31,-25,28,16
"FC Groningen",677,31,-32,18,17
"SC Cambuur-Leeuwarden",1909,31,-42,16,18
