"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Sit","yes",3,1,3,"2.39","-0.32","-0.32"
"2","H","Gro","yes",3,5,6,"2.24","-0.23","-0.55"
"3","A","Spa","yes",3,1,1,"1.48","0.19","-0.37"
"4","A","Utr","yes",3,2,2,"1.76","0.03","-0.34"
"5","H","Cam","yes",3,4,4,"2.19","-0.20","-0.54"
"6","H","Hee","yes",3,5,5,"1.45","0.20","-0.34"
"7","A","AZA","yes",0,-1,1,"1.59","0.13","-0.22"
"8","H","GoA","yes",1,0,1,"1.76","0.03","-0.19"
"9","A","Vol","yes",3,2,4,"2.34","-0.29","-0.47"
"10","H","Exc","yes",3,6,7,"2.29","-0.26","-0.73"
"11","A","RKC","yes",3,3,4,"1.79","0.01","-0.72"
"12","H","PSV","yes",0,-1,1,"1.39","0.23","-0.49"
"13","H","Vit","yes",1,0,2,"1.92","-0.06","-0.54"
"14","A","Emm","yes",1,0,3,"2.26","-0.24","-0.79"
"15","A","NEC","yes",1,0,1,"2.12","-0.16","-0.95"
"16","H","Twe","yes",1,0,0,"1.69","0.07","-0.88"
"17","A","Fey","no",NA,NA,NA,"1.20","0.34","-0.54"
"18","H","Vol","no",NA,NA,NA,"2.28","-0.25","-0.79"
"19","A","Exc","no",NA,NA,NA,"1.74","0.04","-0.75"
"20","A","Cam","no",NA,NA,NA,"2.63","-0.45","-1.20"
"21","H","RKC","no",NA,NA,NA,"2.15","-0.18","-1.39"
"22","H","Spa","no",NA,NA,NA,"1.44","0.21","-1.18"
"23","A","Vit","no",NA,NA,NA,"2.41","-0.33","-1.50"
"24","H","NEC","no",NA,NA,NA,"1.75","0.04","-1.47"
"25","A","Hee","no",NA,NA,NA,"1.80","0.01","-1.46"
"26","H","Fey","no",NA,NA,NA,"0.88","0.52","-0.94"
"27","A","GoA","no",NA,NA,NA,"2.18","-0.20","-1.14"
"28","H","Sit","no",NA,NA,NA,"1.81","0.01","-1.14"
"29","H","Emm","no",NA,NA,NA,"2.35","-0.30","-1.43"
"30","A","PSV","no",NA,NA,NA,"1.00","0.45","-0.99"
"31","H","AZA","no",NA,NA,NA,"0.77","0.57","-0.41"
"32","A","Gro","no",NA,NA,NA,"2.33","-0.28","-0.70"
"33","H","Utr","no",NA,NA,NA,"1.34","0.26","-0.44"
"34","A","Twe","no",NA,NA,NA,"1.02","0.44","-0.00"
