"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","PSV","yes",0,-3,1,"0.17","0.81","0.81"
"2","H","RKC","yes",1,0,1,"1.43","-0.65","0.16"
"3","H","Utr","yes",3,1,3,"0.92","-0.06","0.10"
"4","A","Fey","yes",0,-4,0,"0.26","0.70","0.80"
"5","H","AZA","yes",0,-3,0,"0.43","0.51","1.31"
"6","A","Exc","yes",0,-1,1,"0.55","0.36","1.68"
"7","A","GoA","yes",0,-2,0,"0.70","0.19","1.87"
"8","H","Hee","yes",1,0,0,"1.07","-0.23","1.63"
"9","A","Spa","yes",0,-2,1,"0.34","0.61","2.24"
"10","H","Vol","yes",1,0,1,"1.65","-0.90","1.34"
"11","A","Vit","yes",0,-1,1,"0.84","0.04","1.38"
"12","H","Gro","yes",1,0,0,"1.85","-1.12","0.25"
"13","A","Sit","yes",3,1,1,"0.83","0.05","0.30"
"14","H","Ajx","yes",1,0,3,"0.48","0.44","0.74"
"15","A","Twe","yes",0,-2,0,"0.18","0.79","1.54"
"16","H","Cam","yes",1,0,0,"1.45","-0.66","0.87"
"17","A","NEC","yes",0,-2,1,"0.73","0.16","1.03"
"18","H","PSV","yes",3,1,1,"0.97","-0.11","0.92"
"19","A","RKC","yes",0,-2,0,"0.38","0.56","1.48"
"20","H","Vit","yes",1,0,2,"1.16","-0.34","1.14"
"21","H","Sit","yes",0,-1,0,"1.05","-0.21","0.94"
"22","A","Gro","no",NA,NA,NA,"1.02","-0.17","0.77"
"23","H","GoA","no",NA,NA,NA,"1.29","-0.48","0.29"
"24","A","Vol","no",NA,NA,NA,"0.80","0.08","0.36"
"25","H","Exc","no",NA,NA,NA,"1.84","-1.11","-0.75"
"26","H","Spa","no",NA,NA,NA,"0.95","-0.09","-0.84"
"27","A","Cam","no",NA,NA,NA,"1.56","-0.79","-1.63"
"28","H","NEC","no",NA,NA,NA,"1.27","-0.47","-2.10"
"29","A","Ajx","no",NA,NA,NA,"0.48","0.45","-1.65"
"30","A","Hee","no",NA,NA,NA,"0.60","0.31","-1.35"
"31","H","Twe","no",NA,NA,NA,"1.21","-0.40","-1.74"
"32","A","AZA","no",NA,NA,NA,"0.32","0.63","-1.11"
"33","H","Fey","no",NA,NA,NA,"0.40","0.54","-0.58"
"34","A","Utr","no",NA,NA,NA,"0.37","0.58","0.00"
