"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Twe","yes",0,-1,0,"1.24","-0.09","-0.09"
"2","A","Vol","yes",3,3,4,"1.26","-0.11","-0.20"
"3","H","Gro","yes",1,0,1,"1.89","-0.67","-0.87"
"4","A","AZA","yes",1,0,1,"0.67","0.41","-0.47"
"5","A","Hee","yes",1,0,0,"1.13","0.00","-0.46"
"6","H","Sit","yes",1,0,1,"1.16","-0.02","-0.48"
"7","A","Utr","yes",1,0,0,"0.79","0.31","-0.18"
"8","H","Fey","yes",1,0,1,"0.41","0.64","0.46"
"9","H","Exc","yes",1,0,1,"1.88","-0.65","-0.19"
"10","A","Spa","yes",0,-2,0,"0.70","0.38","0.19"
"11","H","GoA","yes",1,0,3,"1.31","-0.16","0.04"
"12","A","PSV","yes",0,-3,0,"0.36","0.68","0.72"
"13","A","Cam","yes",3,1,1,"2.20","-0.94","-0.22"
"14","H","RKC","yes",3,5,6,"1.53","-0.35","-0.57"
"15","H","Ajx","yes",1,0,1,"0.49","0.57","0.00"
"16","A","Vit","yes",1,0,0,"1.46","-0.28","-0.28"
"17","H","Emm","yes",3,2,3,"1.89","-0.67","-0.95"
"18","A","Fey","yes",0,-2,0,"0.44","0.61","-0.34"
"19","H","Spa","yes",1,0,1,"0.98","0.13","-0.21"
"20","A","GoA","yes",0,-1,0,"1.27","-0.12","-0.33"
"21","H","Cam","yes",1,0,0,"1.49","-0.31","-0.64"
"22","A","Exc","no",NA,NA,NA,"1.06","0.06","-0.57"
"23","H","Vol","no",NA,NA,NA,"1.71","-0.51","-1.08"
"24","A","Ajx","no",NA,NA,NA,"0.86","0.24","-0.84"
"25","H","Utr","no",NA,NA,NA,"0.95","0.16","-0.68"
"26","A","RKC","no",NA,NA,NA,"0.70","0.39","-0.29"
"27","H","PSV","no",NA,NA,NA,"1.01","0.11","-0.18"
"28","A","Emm","no",NA,NA,NA,"1.37","-0.20","-0.38"
"29","H","Vit","no",NA,NA,NA,"1.31","-0.16","-0.54"
"30","A","Gro","no",NA,NA,NA,"1.71","-0.50","-1.04"
"31","H","Hee","no",NA,NA,NA,"1.05","0.07","-0.97"
"32","A","Twe","no",NA,NA,NA,"0.36","0.68","-0.29"
"33","H","AZA","no",NA,NA,NA,"0.51","0.55","0.26"
"34","A","Sit","no",NA,NA,NA,"1.43","-0.26","-0.00"
