"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Hee","yes",1,0,0,"1.47","0.10","0.10"
"2","H","AZA","yes",0,-1,2,"0.77","0.52","0.62"
"3","H","Ajx","yes",0,-1,0,"1.13","0.31","0.93"
"4","A","GoA","yes",3,1,1,"1.78","-0.09","0.84"
"5","H","Vol","yes",3,4,4,"2.28","-0.40","0.44"
"6","A","Fey","yes",0,-3,0,"0.76","0.53","0.97"
"7","H","Gro","yes",3,1,2,"2.30","-0.41","0.56"
"8","A","RKC","yes",1,0,2,"1.22","0.25","0.81"
"9","H","Emm","yes",3,2,3,"2.40","-0.47","0.33"
"10","H","NEC","yes",3,2,2,"1.88","-0.15","0.18"
"11","A","Utr","yes",0,-2,1,"1.18","0.28","0.46"
"12","H","Sit","yes",3,2,3,"1.95","-0.20","0.26"
"13","A","Vit","yes",3,4,4,"2.03","-0.25","0.01"
"14","H","Twe","yes",1,0,1,"1.86","-0.14","-0.13"
"15","A","PSV","yes",1,0,0,"0.56","0.66","0.53"
"16","H","Exc","yes",3,1,1,"2.36","-0.45","0.08"
"17","A","Cam","yes",3,3,3,"2.37","-0.46","-0.38"
"18","H","RKC","yes",1,0,0,"2.13","-0.31","-0.69"
"19","A","NEC","yes",1,0,1,"1.68","-0.03","-0.72"
"20","A","Sit","no",NA,NA,NA,"1.86","-0.14","-0.86"
"21","H","GoA","no",NA,NA,NA,"1.87","-0.15","-1.02"
"22","A","Ajx","no",NA,NA,NA,"1.31","0.19","-0.82"
"23","H","Utr","no",NA,NA,NA,"1.46","0.10","-0.72"
"24","A","Exc","no",NA,NA,NA,"1.26","0.23","-0.50"
"25","H","Vit","no",NA,NA,NA,"1.83","-0.13","-0.62"
"26","A","Emm","no",NA,NA,NA,"1.63","-0.00","-0.63"
"27","H","Fey","no",NA,NA,NA,"0.94","0.42","-0.21"
"28","A","AZA","no",NA,NA,NA,"1.03","0.37","0.16"
"29","H","Hee","no",NA,NA,NA,"1.70","-0.04","0.12"
"30","A","Twe","no",NA,NA,NA,"0.60","0.63","0.74"
"31","H","PSV","no",NA,NA,NA,"1.64","-0.01","0.73"
"32","A","Vol","no",NA,NA,NA,"1.96","-0.20","0.53"
"33","H","Cam","no",NA,NA,NA,"2.09","-0.28","0.25"
"34","A","Gro","no",NA,NA,NA,"2.03","-0.25","0.00"
