"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Fey","yes",0,-3,2,"0.31","0.68","0.68"
"2","A","Exc","yes",0,-2,1,"0.86","0.09","0.77"
"3","H","Hee","yes",0,-4,0,"0.72","0.24","1.01"
"4","H","RKC","yes",1,0,2,"1.17","-0.23","0.77"
"5","A","Gro","yes",3,1,1,"1.64","-0.73","0.04"
"6","A","Utr","yes",0,-1,0,"0.79","0.17","0.21"
"7","H","Vol","yes",1,0,1,"1.40","-0.48","-0.26"
"8","A","Twe","yes",0,-3,0,"0.33","0.65","0.39"
"9","H","Sit","yes",0,-1,1,"0.93","0.02","0.41"
"10","A","Cam","yes",3,3,3,"2.06","-1.18","-0.78"
"11","H","Emm","yes",3,1,2,"1.49","-0.57","-1.35"
"12","H","Spa","yes",0,-4,0,"0.61","0.36","-0.99"
"13","A","Ajx","yes",1,0,2,"0.81","0.14","-0.85"
"14","A","GoA","yes",1,0,2,"1.34","-0.41","-1.27"
"15","A","AZA","yes",1,0,1,"0.64","0.33","-0.94"
"16","H","NEC","yes",1,0,0,"0.87","0.08","-0.86"
"17","A","PSV","yes",0,-1,0,"0.37","0.60","-0.26"
"18","H","Twe","yes",1,0,2,"0.85","0.10","-0.16"
"19","A","Hee","no",NA,NA,NA,"0.91","0.03","-0.12"
"20","A","Emm","no",NA,NA,NA,"1.19","-0.26","-0.38"
"21","H","Utr","no",NA,NA,NA,"0.56","0.41","0.03"
"22","A","Vol","no",NA,NA,NA,"1.54","-0.63","-0.60"
"23","H","Ajx","no",NA,NA,NA,"0.38","0.59","-0.00"
"24","H","AZA","no",NA,NA,NA,"0.24","0.74","0.74"
"25","A","Spa","no",NA,NA,NA,"0.73","0.23","0.97"
"26","H","PSV","no",NA,NA,NA,"0.68","0.28","1.25"
"27","A","RKC","no",NA,NA,NA,"0.87","0.08","1.33"
"28","H","GoA","no",NA,NA,NA,"0.83","0.12","1.45"
"29","A","NEC","no",NA,NA,NA,"1.23","-0.30","1.16"
"30","H","Exc","no",NA,NA,NA,"1.47","-0.56","0.60"
"31","A","Sit","no",NA,NA,NA,"1.42","-0.51","0.09"
"32","H","Cam","no",NA,NA,NA,"1.09","-0.15","-0.06"
"33","H","Gro","no",NA,NA,NA,"1.37","-0.45","-0.51"
"34","A","Fey","no",NA,NA,NA,"0.46","0.51","-0.00"
