"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Wil","yes",1,0,1,"2.18","-0.21","-0.21"
"2","A","Zwo","yes",3,4,5,"1.92","-0.06","-0.26"
"3","A","Spa","yes",1,0,1,"2.26","-0.25","-0.51"
"4","A","Gro","yes",1,0,2,"1.69","0.06","-0.45"
"5","H","NAC","yes",3,2,2,"2.47","-0.36","-0.81"
"6","A","NEC","yes",1,0,1,"1.98","-0.09","-0.90"
"7","H","Twe","yes",3,1,2,"1.91","-0.06","-0.96"
"8","A","GoA","yes",3,4,5,"1.24","0.31","-0.65"
"9","A","Utr","yes",3,2,2,"1.56","0.14","-0.51"
"10","H","Ajx","yes",0,-2,0,"0.86","0.53","0.02"
"11","H","AZA","yes",3,1,3,"1.55","0.14","0.16"
"12","A","Alm","yes",3,3,4,"2.50","-0.38","-0.22"
"13","H","Hee","yes",3,3,3,"2.45","-0.35","-0.57"
"14","H","Sit","yes",1,0,1,"2.10","-0.16","-0.73"
"15","A","RKC","yes",3,1,3,"2.33","-0.29","-1.02"
"16","H","Her","yes",3,3,5,"2.38","-0.31","-1.34"
"17","A","PSV","yes",0,-3,0,"0.62","0.65","-0.68"
"18","H","Utr","yes",0,-1,1,"0.86","0.52","-0.16"
"19","A","Wil","yes",1,0,1,"2.24","-0.24","-0.40"
"20","A","Ajx","yes",0,-1,1,"0.26","0.85","0.46"
"21","H","Spa","yes",3,3,3,"2.15","-0.19","0.27"
"22","A","NAC","yes",1,0,0,"1.62","0.10","0.38"
"23","H","Alm","yes",3,1,2,"2.54","-0.41","-0.03"
"24","H","NEC","yes",1,0,0,"2.31","-0.27","-0.30"
"25","A","Twe","no",NA,NA,NA,"0.89","0.51","0.21"
"26","H","GoA","no",NA,NA,NA,"1.86","-0.03","0.18"
"27","H","Gro","no",NA,NA,NA,"2.44","-0.35","-0.16"
"28","A","AZA","no",NA,NA,NA,"1.28","0.29","0.13"
"29","A","Sit","no",NA,NA,NA,"1.84","-0.02","0.11"
"30","H","Zwo","no",NA,NA,NA,"2.29","-0.27","-0.15"
"31","A","Her","no",NA,NA,NA,"1.90","-0.05","-0.20"
"32","H","PSV","no",NA,NA,NA,"1.26","0.30","0.10"
"33","H","RKC","no",NA,NA,NA,"2.55","-0.41","-0.30"
"34","A","Hee","no",NA,NA,NA,"1.26","0.30","0.00"
