"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Zwo","yes",3,1,1,"2.34","-0.05","-0.05"
"2","A","Hee","yes",1,0,1,"2.23","-0.01","-0.06"
"3","A","NAC","yes",3,1,2,"2.57","-0.16","-0.21"
"4","H","Twe","yes",3,1,2,"1.62","0.27","0.06"
"5","H","Wil","yes",3,1,3,"1.81","0.18","0.24"
"6","A","AZA","yes",3,1,2,"2.34","-0.05","0.19"
"7","H","RKC","yes",3,1,3,"2.69","-0.21","-0.02"
"8","A","Gro","yes",3,1,1,"2.70","-0.21","-0.24"
"9","H","Fey","yes",0,-2,0,"1.38","0.38","0.14"
"10","A","Spa","yes",3,3,4,"2.89","-0.30","-0.16"
"11","H","Her","yes",3,1,1,"2.48","-0.12","-0.28"
"12","A","NEC","yes",3,1,2,"2.75","-0.24","-0.52"
"13","H","PSV","yes",0,-3,2,"0.74","0.67","0.15"
"14","A","Ajx","yes",1,0,2,"1.18","0.47","0.61"
"15","A","Alm","yes",3,2,3,"2.84","-0.28","0.34"
"16","H","GoA","yes",1,0,3,"1.72","0.23","0.56"
"17","H","Sit","yes",0,-3,2,"1.99","0.10","0.67"
"18","A","Fey","yes",3,1,2,"2.34","-0.06","0.61"
"19","H","AZA","yes",1,0,0,"1.36","0.39","1.00"
"20","A","Her","no",NA,NA,NA,"2.81","-0.26","0.74"
"21","A","Zwo","no",NA,NA,NA,"2.70","-0.21","0.52"
"22","H","Alm","no",NA,NA,NA,"2.70","-0.22","0.31"
"23","A","PSV","no",NA,NA,NA,"1.39","0.38","0.68"
"24","H","NAC","no",NA,NA,NA,"2.28","-0.03","0.65"
"25","A","Wil","no",NA,NA,NA,"2.75","-0.24","0.42"
"26","H","NEC","no",NA,NA,NA,"2.19","0.02","0.43"
"27","H","Hee","no",NA,NA,NA,"2.33","-0.05","0.38"
"28","A","GoA","no",NA,NA,NA,"2.57","-0.16","0.23"
"29","H","Gro","no",NA,NA,NA,"2.50","-0.13","0.10"
"30","A","RKC","no",NA,NA,NA,"2.91","-0.31","-0.21"
"31","H","Ajx","no",NA,NA,NA,"1.16","0.48","0.27"
"32","A","Twe","no",NA,NA,NA,"2.31","-0.04","0.23"
"33","H","Spa","no",NA,NA,NA,"2.30","-0.03","0.19"
"34","A","Sit","no",NA,NA,NA,"2.65","-0.19","-0.00"
