"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"PSV","PSV",18,35,49,1,1,18,2.72
"Fey","Feyenoord",18,21,36,2,2,18.7,1.92
"Ajx","Ajax",18,11,33,3,3,18,1.83
"NEC","NEC",17,14,29,4,4,15.9,1.82
"AZA","AZ",17,4,28,5,5,16.7,1.68
"Gro","Groningen",18,3,28,6,6,17.7,1.58
"Spa","Sparta",18,-11,26,8,7,18.1,1.44
"Twe","Twente",18,5,26,7,8,18.2,1.43
"Utr","Utrecht",17,5,23,10,9,17,1.36
"Hee","Heerenveen",18,3,24,9,10,17.7,1.35
"Exc","Excelsior",17,-15,19,14,11,16.3,1.16
"Zwo","Zwolle",18,-17,20,13,12,17.5,1.14
"Sit","Sittard",18,-4,22,11,13,19.4,1.13
"GoA","Go Ahead",18,-3,20,12,14,18.5,1.08
"Her","Heracles",18,-20,14,18,15,16.6,0.85
"Tel","Telstar",18,-8,15,15,16,19,0.79
"Vol","Volendam",18,-13,14,17,17,18.6,0.75
"NAC","NAC",18,-10,14,16,18,18.9,0.74
