"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Sit","yes",1,0,2,"0.60","0.42","0.42"
"2","H","Ajx","yes",1,0,2,"0.99","0.04","0.46"
"3","H","Spa","yes",0,-3,0,"0.76","0.27","0.73"
"4","A","Hee","yes",1,0,2,"0.83","0.19","0.92"
"5","H","Vol","yes",3,3,3,"2.03","-0.96","-0.03"
"6","A","Zwo","yes",3,2,2,"0.58","0.44","0.41"
"7","A","Tel","yes",0,-2,2,"1.60","-0.55","-0.14"
"8","H","NEC","yes",1,0,1,"0.95","0.08","-0.06"
"9","A","PSV","yes",0,-1,1,"0.21","0.80","0.74"
"10","H","Exc","yes",3,2,2,"1.42","-0.37","0.37"
"11","A","NAC","yes",0,-1,0,"1.28","-0.24","0.13"
"12","H","Fey","yes",3,1,2,"0.76","0.27","0.39"
"13","A","Her","yes",0,-2,2,"0.96","0.07","0.47"
"14","H","Utr","yes",1,0,2,"1.60","-0.54","-0.08"
"15","A","AZA","yes",1,0,2,"0.64","0.38","0.31"
"16","A","Twe","yes",0,-2,0,"0.64","0.38","0.68"
"17","H","Gro","yes",1,0,1,"1.01","0.03","0.71"
"18","H","Sit","yes",1,0,2,"1.81","-0.75","-0.04"
"19","A","Ajx","yes",1,0,2,"0.47","0.55","0.51"
"20","A","Vol","yes",1,0,1,"0.91","0.12","0.62"
"21","H","Tel","yes",1,0,1,"1.69","-0.63","-0.01"
"22","H","Hee","yes",0,-2,1,"1.25","-0.21","-0.22"
"23","A","Fey","no",NA,NA,NA,"0.40","0.62","0.39"
"24","H","Her","no",NA,NA,NA,"2.15","-1.08","-0.68"
"25","A","Exc","no",NA,NA,NA,"0.88","0.15","-0.54"
"26","H","Twe","no",NA,NA,NA,"1.16","-0.12","-0.66"
"27","H","NAC","no",NA,NA,NA,"2.07","-1.00","-1.65"
"28","A","Utr","no",NA,NA,NA,"0.58","0.44","-1.21"
"29","H","Zwo","no",NA,NA,NA,"1.91","-0.84","-2.05"
"30","A","Gro","no",NA,NA,NA,"0.86","0.17","-1.88"
"31","H","AZA","no",NA,NA,NA,"1.12","-0.09","-1.97"
"32","A","Spa","no",NA,NA,NA,"0.70","0.32","-1.64"
"33","H","PSV","no",NA,NA,NA,"0.05","0.95","-0.70"
"34","A","NEC","no",NA,NA,NA,"0.32","0.70","0.00"
