"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","AZA","yes",0,-3,1,"1.19","0.42","0.42"
"2","H","Hee","yes",3,1,2,"2.64","-0.28","0.14"
"3","A","PSV","yes",0,-2,2,"1.20","0.42","0.56"
"4","H","Her","yes",3,4,4,"2.85","-0.38","0.18"
"5","A","Utr","yes",3,1,1,"2.12","-0.03","0.16"
"6","H","Tel","yes",3,2,2,"2.23","-0.08","0.08"
"7","H","Fey","yes",0,-1,0,"0.67","0.68","0.76"
"8","A","NAC","yes",3,1,2,"2.10","-0.01","0.74"
"9","H","Spa","no",NA,NA,NA,"2.47","-0.20","0.55"
"10","A","Sit","no",NA,NA,NA,"1.52","0.27","0.81"
"11","H","Twe","no",NA,NA,NA,"2.50","-0.21","0.60"
"12","A","NEC","no",NA,NA,NA,"0.96","0.53","1.13"
"13","H","Zwo","no",NA,NA,NA,"2.60","-0.26","0.88"
"14","A","Ajx","no",NA,NA,NA,"0.70","0.66","1.54"
"15","A","Exc","no",NA,NA,NA,"2.25","-0.09","1.45"
"16","H","Vol","no",NA,NA,NA,"2.78","-0.35","1.10"
"17","A","GoA","no",NA,NA,NA,"2.33","-0.13","0.97"
"18","H","NAC","no",NA,NA,NA,"2.62","-0.27","0.70"
"19","A","Hee","no",NA,NA,NA,"2.23","-0.08","0.63"
"20","H","Sit","no",NA,NA,NA,"2.57","-0.24","0.38"
"21","A","Spa","no",NA,NA,NA,"2.21","-0.07","0.31"
"22","H","PSV","no",NA,NA,NA,"0.61","0.71","1.02"
"23","H","Utr","no",NA,NA,NA,"2.60","-0.26","0.76"
"24","A","Twe","no",NA,NA,NA,"1.97","0.04","0.81"
"25","A","Vol","no",NA,NA,NA,"2.37","-0.15","0.66"
"26","H","Ajx","no",NA,NA,NA,"2.50","-0.21","0.45"
"27","A","Zwo","no",NA,NA,NA,"2.43","-0.17","0.27"
"28","H","AZA","no",NA,NA,NA,"2.08","-0.01","0.27"
"29","A","Tel","no",NA,NA,NA,"2.44","-0.18","0.09"
"30","H","GoA","no",NA,NA,NA,"2.60","-0.26","-0.17"
"31","A","Fey","no",NA,NA,NA,"0.25","0.88","0.70"
"32","H","Exc","no",NA,NA,NA,"2.68","-0.30","0.41"
"33","H","NEC","no",NA,NA,NA,"2.49","-0.21","0.20"
"34","A","Her","no",NA,NA,NA,"2.48","-0.20","0.00"
