"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Vol","yes",1,0,1,"2.38","-0.82","-0.82"
"2","A","Gro","yes",0,-1,1,"1.42","-0.09","-0.92"
"3","H","Twe","yes",0,-1,1,"1.17","0.10","-0.82"
"4","H","GoA","yes",1,0,2,"1.86","-0.43","-1.24"
"5","A","Fey","yes",0,-1,0,"0.77","0.41","-0.83"
"6","H","NEC","yes",3,1,3,"0.93","0.29","-0.55"
"7","A","Utr","yes",1,0,2,"0.95","0.27","-0.27"
"8","H","Exc","yes",3,1,2,"1.57","-0.20","-0.48"
"9","A","Tel","yes",3,1,3,"2.19","-0.68","-1.16"
"10","H","NAC","yes",1,0,3,"2.09","-0.60","-1.76"
"11","A","Ajx","yes",1,0,1,"0.89","0.32","-1.44"
"12","A","Sit","yes",0,-2,0,"1.08","0.17","-1.27"
"13","H","AZA","yes",3,2,3,"1.14","0.12","-1.14"
"14","A","Zwo","yes",0,-1,1,"0.81","0.38","-0.76"
"15","H","PSV","yes",0,-2,0,"0.06","0.96","0.19"
"16","A","Spa","yes",3,3,3,"1.20","0.08","0.27"
"17","A","Her","yes",3,3,3,"1.67","-0.28","-0.01"
"18","H","Fey","yes",1,0,2,"0.84","0.35","0.34"
"19","H","Gro","yes",0,-2,0,"1.01","0.23","0.57"
"20","H","Utr","no",NA,NA,NA,"1.87","-0.44","0.13"
"21","A","Twe","no",NA,NA,NA,"1.26","0.03","0.16"
"22","A","GoA","no",NA,NA,NA,"1.22","0.06","0.22"
"23","H","Zwo","no",NA,NA,NA,"1.94","-0.49","-0.27"
"24","A","PSV","no",NA,NA,NA,"0.48","0.63","0.36"
"25","H","Spa","no",NA,NA,NA,"0.69","0.47","0.83"
"26","A","Exc","no",NA,NA,NA,"1.45","-0.11","0.72"
"27","H","Tel","no",NA,NA,NA,"1.75","-0.34","0.38"
"28","A","NEC","no",NA,NA,NA,"0.42","0.68","1.06"
"29","H","Her","no",NA,NA,NA,"2.17","-0.67","0.39"
"30","A","AZA","no",NA,NA,NA,"1.16","0.11","0.50"
"31","H","Sit","no",NA,NA,NA,"1.73","-0.33","0.17"
"32","A","Vol","no",NA,NA,NA,"1.45","-0.11","0.06"
"33","A","NAC","no",NA,NA,NA,"1.79","-0.37","-0.32"
"34","H","Ajx","no",NA,NA,NA,"0.89","0.32","-0.00"
