"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Fey","yes",0,-2,0,"0.31","0.62","0.62"
"2","H","Sit","yes",3,1,2,"1.27","-0.57","0.05"
"3","A","NEC","yes",0,-3,0,"0.38","0.53","0.58"
"4","H","AZA","yes",0,-1,0,"0.76","0.06","0.64"
"5","A","Twe","yes",1,0,2,"0.40","0.50","1.15"
"6","H","Her","yes",3,1,2,"1.92","-1.37","-0.22"
"7","A","Ajx","yes",0,-1,1,"0.40","0.51","0.29"
"8","H","Gro","yes",0,-1,1,"0.86","-0.06","0.23"
"9","H","Zwo","yes",1,0,2,"1.56","-0.92","-0.69"
"10","A","Hee","yes",1,0,3,"0.57","0.29","-0.40"
"11","H","GoA","yes",3,1,1,"1.25","-0.54","-0.94"
"12","A","Vol","yes",0,-1,1,"0.53","0.34","-0.60"
"13","H","PSV","yes",0,-1,0,"0.10","0.88","0.28"
"14","A","Exc","yes",0,-1,0,"0.96","-0.19","0.09"
"15","A","Spa","yes",0,-1,0,"0.63","0.22","0.31"
"16","H","Utr","yes",1,0,1,"1.08","-0.33","-0.01"
"17","H","Tel","yes",0,-1,0,"1.35","-0.67","-0.68"
"18","A","Gro","yes",1,0,0,"0.88","-0.08","-0.76"
"19","H","NEC","yes",0,-1,3,"0.68","0.16","-0.60"
"20","A","PSV","yes",1,0,2,"0.18","0.78","0.18"
"21","H","Twe","yes",1,0,2,"0.89","-0.10","0.08"
"22","H","Exc","yes",0,-2,0,"1.08","-0.33","-0.26"
"23","A","Her","yes",3,1,1,"1.00","-0.23","-0.48"
"24","H","Vol","yes",3,1,1,"1.74","-1.14","-1.63"
"25","A","Tel","yes",0,-3,0,"1.24","-0.53","-2.16"
"26","H","Fey","no",NA,NA,NA,"0.59","0.28","-1.88"
"27","A","GoA","no",NA,NA,NA,"0.69","0.15","-1.74"
"28","A","Zwo","no",NA,NA,NA,"0.52","0.36","-1.37"
"29","H","Spa","no",NA,NA,NA,"0.69","0.15","-1.23"
"30","A","Sit","no",NA,NA,NA,"0.47","0.43","-0.80"
"31","H","Ajx","no",NA,NA,NA,"0.69","0.15","-0.65"
"32","A","Utr","no",NA,NA,NA,"0.51","0.37","-0.29"
"33","H","Hee","no",NA,NA,NA,"0.91","-0.13","-0.41"
"34","A","AZA","no",NA,NA,NA,"0.48","0.41","0.00"
