"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Zwo","yes",0,-1,0,"1.20","0.19","0.19"
"2","H","PSV","yes",0,-2,0,"0.07","0.95","1.15"
"3","A","Hee","yes",3,1,2,"1.56","-0.05","1.09"
"4","A","Exc","yes",0,-1,0,"1.57","-0.06","1.04"
"5","H","NAC","yes",1,0,2,"2.27","-0.53","0.50"
"6","A","Spa","yes",3,4,5,"1.37","0.07","0.58"
"7","H","Sit","yes",3,1,3,"2.06","-0.39","0.19"
"8","H","Her","yes",3,1,2,"2.34","-0.58","-0.39"
"9","A","NEC","yes",1,0,3,"0.48","0.68","0.28"
"10","H","Ajx","yes",0,-1,2,"1.23","0.17","0.45"
"11","A","Gro","yes",1,0,1,"1.55","-0.05","0.40"
"12","H","Tel","yes",1,0,0,"1.95","-0.32","0.09"
"13","A","Vol","yes",1,0,1,"1.63","-0.10","-0.01"
"14","H","AZA","yes",3,1,1,"1.39","0.06","0.05"
"15","A","Utr","yes",1,0,1,"1.19","0.20","0.24"
"16","H","GoA","yes",3,2,2,"2.06","-0.39","-0.15"
"17","A","Fey","yes",1,0,1,"0.88","0.40","0.26"
"18","H","Zwo","yes",1,0,1,"2.14","-0.44","-0.19"
"19","A","Her","yes",3,2,2,"1.68","-0.13","-0.32"
"20","H","Exc","yes",1,0,0,"1.68","-0.13","-0.45"
"21","A","NAC","yes",1,0,2,"2.00","-0.35","-0.80"
"22","H","Hee","yes",3,5,5,"1.69","-0.14","-0.94"
"23","A","Tel","no",NA,NA,NA,"2.26","-0.52","-1.46"
"24","H","Gro","no",NA,NA,NA,"1.25","0.16","-1.31"
"25","H","Fey","no",NA,NA,NA,"0.99","0.33","-0.98"
"26","A","GoA","no",NA,NA,NA,"1.43","0.03","-0.94"
"27","H","Utr","no",NA,NA,NA,"2.10","-0.42","-1.36"
"28","A","Sit","no",NA,NA,NA,"1.23","0.17","-1.19"
"29","A","Ajx","no",NA,NA,NA,"1.00","0.33","-0.86"
"30","H","Vol","no",NA,NA,NA,"2.25","-0.51","-1.37"
"31","H","NEC","no",NA,NA,NA,"1.19","0.20","-1.18"
"32","A","AZA","no",NA,NA,NA,"1.27","0.14","-1.03"
"33","H","Spa","no",NA,NA,NA,"0.97","0.35","-0.69"
"34","A","PSV","no",NA,NA,NA,"0.46","0.69","0.00"
