"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Twe","yes",3,1,1,"1.21","-0.07","-0.07"
"2","A","Tel","yes",3,2,2,"0.97","0.14","0.07"
"3","H","Utr","yes",0,-2,0,"1.72","-0.52","-0.45"
"4","A","Ajx","yes",0,-2,1,"0.42","0.63","0.18"
"5","H","GoA","yes",0,-2,0,"1.97","-0.74","-0.56"
"6","A","AZA","yes",1,0,2,"0.41","0.64","0.07"
"7","A","Vol","yes",0,-1,1,"0.65","0.42","0.49"
"8","H","PSV","yes",0,-4,0,"0.34","0.69","1.19"
"9","A","NAC","yes",1,0,2,"1.05","0.07","1.26"
"10","H","NEC","yes",1,0,2,"1.10","0.02","1.28"
"11","A","Her","yes",0,-6,2,"1.19","-0.05","1.23"
"12","H","Spa","yes",3,1,1,"1.54","-0.37","0.86"
"13","A","Gro","yes",1,0,2,"0.71","0.37","1.23"
"14","H","Hee","yes",3,1,2,"1.53","-0.35","0.88"
"15","A","Fey","yes",0,-5,1,"0.29","0.74","1.62"
"16","H","Sit","yes",3,1,1,"1.90","-0.68","0.94"
"17","A","Exc","yes",0,-1,1,"0.99","0.12","1.06"
"18","A","Twe","yes",1,0,1,"0.48","0.58","1.64"
"19","H","AZA","yes",3,2,3,"1.55","-0.38","1.27"
"20","A","NEC","yes",0,-1,1,"0.42","0.63","1.89"
"21","H","Tel","yes",3,3,4,"1.92","-0.70","1.20"
"22","H","Vol","yes",0,-1,1,"2.23","-0.98","0.22"
"23","A","Hee","yes",0,-2,2,"0.49","0.57","0.79"
"24","A","Utr","yes",1,0,1,"0.46","0.60","1.38"
"25","H","Ajx","yes",1,0,0,"1.30","-0.15","1.24"
"26","A","Spa","yes",1,0,1,"0.67","0.41","1.64"
"27","H","Gro","yes",1,0,1,"1.49","-0.32","1.32"
"28","H","NAC","yes",3,1,2,"2.25","-0.99","0.33"
"29","A","GoA","yes",0,-5,0,"0.69","0.39","0.72"
"30","H","Exc","yes",1,0,2,"1.83","-0.62","0.10"
"31","A","PSV","yes",0,-5,1,"0.21","0.81","0.91"
"32","H","Her","no",NA,NA,NA,"2.49","-1.20","-0.29"
"33","A","Sit","no",NA,NA,NA,"0.69","0.39","0.10"
"34","H","Fey","no",NA,NA,NA,"1.24","-0.10","0.00"
